"",BBFI1.M.N.DE.W0.S121.S122.LE.A.FA.RT.F2.T.X1.N.N,BBFI1.M.N.DE.W0.S121.S122.LE.A.FA.RT.F2.T.X1.N.N_FLAGS
"",Reserve template (mthly.) - Currency and deposits,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:54:12,
2007-12,7051,
2008-01,6864,
2008-02,-,Nothing exists
2008-03,4510,
2008-04,8297,
2008-05,14654,
2008-06,12173,
2008-07,9461,
2008-08,10769,
2008-09,39065,
2008-10,56176,
2008-11,67133,
2008-12,63263,
2009-01,51653,
2009-02,50989,
2009-03,50722,
2009-04,42224,
2009-05,35357,
2009-06,30790,
2009-07,25333,
2009-08,23807,
2009-09,21644,
2009-10,16660,
2009-11,12527,
2009-12,4412,
2010-01,-,Nothing exists
2010-02,-,Nothing exists
2010-03,-,Nothing exists
2010-04,-,Nothing exists
2010-05,179,
2010-06,179,
2010-07,169,
2010-08,-,Nothing exists
2010-09,-,Nothing exists
2010-10,-,Nothing exists
2010-11,-,Nothing exists
2010-12,-,Nothing exists
2011-01,-,Nothing exists
2011-02,-,Nothing exists
2011-03,-,Nothing exists
2011-04,-,Nothing exists
2011-05,-,Nothing exists
2011-06,-,Nothing exists
2011-07,-,Nothing exists
2011-08,-,Nothing exists
2011-09,-,Nothing exists
2011-10,500,
2011-11,555,
2011-12,18128,
2012-01,11453,
2012-02,13833,
2012-03,8897,
2012-04,8447,
2012-05,7579,
2012-06,6197,
2012-07,3328,
2012-08,1799,
2012-09,1519,
2012-10,1741,
2012-11,2243,
2012-12,3341,
2013-01,1573,
2013-02,3209,
2013-03,3390,
2013-04,2781,
2013-05,754,
2013-06,901,
2013-07,737,
2013-08,240,
2013-09,378,
2013-10,126,
2013-11,126,
2013-12,125,
2014-01,118,
2014-02,114,
2014-03,114,
2014-04,108,
2014-05,91,
2014-06,91,
2014-07,56,
2014-08,57,
2014-09,-,Nothing exists
2014-10,-,Nothing exists
2014-11,-,Nothing exists
2014-12,-,Nothing exists
2015-01,-,Nothing exists
