"",BBK01.CELF1C,BBK01.CELF1C_FLAGS
"",long-term loans debtor: Non-financial corporations                         creditor: General government,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:47:11,
1999-01,-0.6,
1999-04,-0.4,
1999-07,-0.3,
1999-10,1.5,
2000-01,-1.5,
2000-04,1.1,
2000-07,-0.4,
2000-10,0.7,
2001-01,0.0,
2001-04,0.5,
2001-07,-0.9,
2001-10,0.8,
2002-01,-0.1,
2002-04,0.1,
2002-07,-0.7,
2002-10,0.7,
2003-01,0.2,
2003-04,-1.1,
2003-07,-0.5,
2003-10,-1.6,
2004-01,0.8,
2004-04,-1.3,
2004-07,-4.7,
2004-10,-2.1,
2005-01,3.4,
2005-04,-1.6,
2005-07,-0.3,
2005-10,-1.1,
2006-01,-0.6,
2006-04,-0.4,
2006-07,2.9,
2006-10,0.3,
2007-01,1.6,
2007-04,-0.3,
2007-07,0.5,
2007-10,1.3,
2008-01,-1.3,
2008-04,-1.0,
2008-07,-1.2,
2008-10,-1.3,
2009-01,-0.9,
2009-04,2.0,
2009-07,-1.7,
2009-10,-2.6,
2010-01,-1.6,
2010-04,6.6,
2010-07,-1.1,
2010-10,5.9,
2011-01,-17.5,
2011-04,1.9,
2011-07,6.0,
2011-10,7.8,
2012-01,-7.9,
2012-04,-5.2,
2012-07,16.3,
2012-10,-21.0,
2013-01,-6.3,
2013-04,4.0,
2013-07,-13.3,
2013-10,-2.8,
2014-01,-0.3,
2014-04,7.3,
2014-07,-4.4,
