"",BBK01.OEAH85Q,BBK01.OEAH85Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:28,
2002-01,3.226,
2002-04,3.005,
2002-07,2.549,
2002-10,2.931,
2003-01,2.832,
2003-04,3.080,
2003-07,2.972,
2003-10,3.136,
2004-01,3.112,
2004-04,3.607,
2004-07,2.685,
2004-10,3.873,
2005-01,4.476,
2005-04,5.423,
2005-07,6.278,
2005-10,6.274,
2006-01,5.559,
2006-04,5.857,
2006-07,6.756,
2006-10,6.698,
2007-01,6.859,
2007-04,7.459,
2007-07,6.708,
2007-10,8.574,
2008-01,8.127,
2008-04,7.968,
2008-07,7.360,
2008-10,11.804,
2009-01,11.153,
2009-04,8.323,
2009-07,9.220,
2009-10,8.924,
2010-01,10.316,
2010-04,10.771,
2010-07,10.836,
2010-10,9.989,
2011-01,9.183,
2011-04,8.354,
2011-07,8.612,
2011-10,7.196,
2012-01,6.304,
2012-04,7.232,
2012-07,8.147,
2012-10,7.625,
2013-01,7.960,
2013-04,7.747,
2013-07,4.987,
2013-10,4.475,
2014-01,4.673,
2014-04,4.665,
2014-07,3.665,
