"",BBFN1.M.DE.N.1.A.U2.S1P.F0.S.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.U2.S1P.F0.S.N000.Z01.BGA.X001.D_FLAGS
"",Short-term claims of enterprises on foreign non-banks arising from financial operations / Total / Euro-area member states,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:07:30,
1995-01,13.448,
1995-02,13.726,
1995-03,13.921,
1995-04,14.262,
1995-05,14.245,
1995-06,13.916,
1995-07,13.418,
1995-08,13.353,
1995-09,13.578,
1995-10,14.182,
1995-11,14.585,
1995-12,13.993,
1996-01,13.977,
1996-02,15.332,
1996-03,16.606,
1996-04,16.246,
1996-05,15.855,
1996-06,15.380,
1996-07,14.065,
1996-08,13.881,
1996-09,14.306,
1996-10,13.693,
1996-11,14.029,
1996-12,15.026,
1997-01,16.758,
1997-02,16.749,
1997-03,15.449,
1997-04,16.609,
1997-05,16.567,
1997-06,16.514,
1997-07,19.053,
1997-08,18.094,
1997-09,17.615,
1997-10,17.906,
1997-11,17.139,
1997-12,17.684,
1998-01,18.273,
1998-02,18.384,
1998-03,18.292,
1998-04,19.290,
1998-05,20.074,
1998-06,19.409,
1998-07,20.956,
1998-08,20.689,
1998-09,21.476,
1998-10,21.767,
1998-11,21.477,
1998-12,22.346,
1999-01,22.537,
1999-02,23.105,
1999-03,26.500,
1999-04,26.815,
1999-05,27.615,
1999-06,29.495,
1999-07,29.630,
1999-08,30.658,
1999-09,32.162,
1999-10,29.286,
1999-11,29.800,
1999-12,31.681,
2000-01,33.651,
2000-02,32.235,
2000-03,29.321,
2000-04,29.404,
2000-05,27.697,
2000-06,29.554,
2000-07,27.499,
2000-08,36.634,
2000-09,42.589,
2000-10,43.856,
2000-11,43.381,
2000-12,44.280,
2001-01,45.634,
2001-02,46.837,
2001-03,46.360,
2001-04,48.319,
2001-05,48.022,
2001-06,48.121,
2001-07,42.724,
2001-08,43.089,
2001-09,34.367,
2001-10,33.700,
2001-11,34.122,
2001-12,36.423,
2002-01,36.152,
2002-02,37.271,
2002-03,40.307,
2002-04,37.545,
2002-05,38.976,
2002-06,39.214,
2002-07,36.421,
2002-08,36.229,
2002-09,37.385,
2002-10,36.512,
2002-11,35.659,
2002-12,41.915,
2003-01,42.444,
2003-02,44.372,
2003-03,44.980,
2003-04,45.244,
2003-05,46.179,
2003-06,46.235,
2003-07,47.490,
2003-08,45.879,
2003-09,46.763,
2003-10,46.707,
2003-11,47.282,
2003-12,45.830,
2004-01,52.711,
2004-02,48.525,
2004-03,51.636,
2004-04,51.363,
2004-05,51.649,
2004-06,51.359,
2004-07,52.488,
2004-08,53.839,
2004-09,52.862,
2004-10,52.604,
2004-11,50.571,
2004-12,48.901,
2005-01,47.816,
2005-02,49.628,
2005-03,51.327,
2005-04,51.535,
2005-05,49.705,
2005-06,52.351,
2005-07,53.161,
2005-08,54.155,
2005-09,52.715,
2005-10,53.241,
2005-11,51.428,
2005-12,50.956,
2006-01,49.744,
2006-02,54.232,
2006-03,54.216,
2006-04,56.785,
2006-05,58.373,
2006-06,57.932,
2006-07,57.204,
2006-08,58.503,
2006-09,59.247,
2006-10,59.586,
2006-11,55.584,
2006-12,58.481,
2007-01,62.067,
2007-02,59.051,
2007-03,60.699,
2007-04,63.555,
2007-05,63.197,
2007-06,61.656,
2007-07,62.298,
2007-08,60.800,
2007-09,61.229,
2007-10,60.035,
2007-11,57.132,
2007-12,57.004,
2008-01,56.581,
2008-02,59.313,
2008-03,62.547,
2008-04,67.179,
2008-05,67.300,
2008-06,70.822,
2008-07,70.676,
2008-08,67.845,
2008-09,65.958,
2008-10,67.668,
2008-11,69.911,
2008-12,68.724,
2009-01,70.654,
2009-02,68.695,
2009-03,71.996,
2009-04,71.238,
2009-05,71.170,
2009-06,70.662,
2009-07,69.348,
2009-08,67.726,
2009-09,65.632,
2009-10,67.879,
2009-11,67.649,
2009-12,73.171,
2010-01,72.137,
2010-02,71.649,
2010-03,74.308,
2010-04,73.123,
2010-05,74.394,
2010-06,78.637,
2010-07,83.612,
2010-08,85.742,
2010-09,82.687,
2010-10,83.987,
2010-11,83.949,
2010-12,83.380,
2011-01,82.988,
2011-02,84.814,
2011-03,94.650,
2011-04,92.696,
2011-05,99.182,
2011-06,93.886,
2011-07,98.602,
2011-08,101.124,
2011-09,105.924,
2011-10,101.456,
2011-11,98.309,
2011-12,93.396,
2012-01,102.682,
2012-02,94.180,
2012-03,96.779,
2012-04,87.479,
2012-05,88.386,
2012-06,91.460,
2012-07,89.019,
2012-08,88.175,
2012-09,88.012,
2012-10,90.144,
2012-11,89.722,
2012-12,88.786,
2013-01,90.163,
2013-02,89.078,
2013-03,94.724,
2013-04,98.423,
2013-05,97.682,
2013-06,98.526,
2013-07,97.039,
2013-08,95.931,
2013-09,94.813,
2013-10,94.166,
2013-11,93.571,
2013-12,96.068,
2014-01,96.619,
2014-02,98.433,
2014-03,98.923,
2014-04,99.932,
2014-05,98.185,
2014-06,98.091,
2014-07,97.989,
2014-08,101.790,
2014-09,102.761,
2014-10,102.583,
2014-11,98.477,
2014-12,105.203,
"","General: From January 2001, including Greece; from January 2007, including Slovenia; from January 2008, including Cyprus and Malta; from January 2009, including Slovakia; from January 2011, including Estonia.",
