"",BBFB1.M.N.DE.W1.S1.S1.T.D.D4S___ES.D.FL.T._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.D.D4S___ES.D.FL.T._T._X.N_FLAGS
"",Current account / Primary income / Investment income / Income from Direct investment / Nachrichtlich/  Income from Equity in the narrower sense / Expenditure / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:38:43,
1991-01,486.169,
1991-02,210.587,
1991-03,252.555,
1991-04,269.347,
1991-05,376.595,
1991-06,1447.903,
1991-07,567.594,
1991-08,316.841,
1991-09,328.448,
1991-10,242.557,
1991-11,303.004,
1991-12,390.551,
1992-01,328.428,
1992-02,-10.073,
1992-03,165.763,
1992-04,-98.511,
1992-05,38.086,
1992-06,565.037,
1992-07,152.355,
1992-08,88.592,
1992-09,269.573,
1992-10,-103.964,
1992-11,70.405,
1992-12,-474.829,
1993-01,277.424,
1993-02,129.611,
1993-03,-8.683,
1993-04,-0.241,
1993-05,-66.734,
1993-06,-55.387,
1993-07,15.533,
1993-08,-61.279,
1993-09,118.112,
1993-10,-96.158,
1993-11,-171.033,
1993-12,-467.615,
1994-01,654.944,
1994-02,260.438,
1994-03,388.733,
1994-04,170.733,
1994-05,528.021,
1994-06,92.559,
1994-07,557.831,
1994-08,273.584,
1994-09,414.164,
1994-10,20.888,
1994-11,497.679,
1994-12,370.216,
1995-01,330.952,
1995-02,362.318,
1995-03,505.542,
1995-04,39.617,
1995-05,78.977,
1995-06,262.003,
1995-07,452.605,
1995-08,299.798,
1995-09,113.529,
1995-10,352.840,
1995-11,126.056,
1995-12,69.668,
1996-01,-173.350,
1996-02,-98.986,
1996-03,-429.444,
1996-04,-191.105,
1996-05,17.209,
1996-06,89.305,
1996-07,1639.415,
1996-08,149.653,
1996-09,626.867,
1996-10,117.185,
1996-11,-45.168,
1996-12,-119.294,
1997-01,309.110,
1997-02,322.083,
1997-03,200.019,
1997-04,129.367,
1997-05,644.659,
1997-06,669.025,
1997-07,580.327,
1997-08,147.893,
1997-09,94.353,
1997-10,870.804,
1997-11,569.092,
1997-12,724.870,
1998-01,211.600,
1998-02,241.475,
1998-03,483.939,
1998-04,574.741,
1998-05,392.683,
1998-06,715.872,
1998-07,1596.939,
1998-08,478.285,
1998-09,519.364,
1998-10,513.138,
1998-11,198.847,
1998-12,2216.009,
1999-01,-227.311,
1999-02,913.521,
1999-03,-14.964,
1999-04,103.549,
1999-05,144.831,
1999-06,589.579,
1999-07,222.318,
1999-08,220.661,
1999-09,304.167,
1999-10,509.886,
1999-11,-41.715,
1999-12,2093.771,
2000-01,-578.606,
2000-02,-140.652,
2000-03,-31.628,
2000-04,-15.240,
2000-05,-129.477,
2000-06,514.432,
2000-07,330.099,
2000-08,663.168,
2000-09,328.457,
2000-10,-27.383,
2000-11,571.726,
2000-12,1792.027,
2001-01,-712.968,
2001-02,-712.836,
2001-03,-712.709,
2001-04,-896.088,
2001-05,-895.211,
2001-06,-895.797,
2001-07,-895.858,
2001-08,-895.989,
2001-09,-895.846,
2001-10,-713.276,
2001-11,-712.252,
2001-12,-706.167,
2002-01,377.734,
2002-02,372.393,
2002-03,415.943,
2002-04,404.497,
2002-05,449.613,
2002-06,500.501,
2002-07,437.491,
2002-08,482.371,
2002-09,538.878,
2002-10,578.519,
2002-11,555.659,
2002-12,622.676,
2003-01,504.270,
2003-02,554.241,
2003-03,621.509,
2003-04,1087.590,
2003-05,676.225,
2003-06,376.955,
2003-07,657.851,
2003-08,720.506,
2003-09,808.508,
2003-10,756.332,
2003-11,831.169,
2003-12,1000.918,
2004-01,757.717,
2004-02,747.784,
2004-03,734.673,
2004-04,745.837,
2004-05,719.180,
2004-06,737.723,
2004-07,771.535,
2004-08,762.324,
2004-09,824.999,
2004-10,764.278,
