"",BBFN1.M.DE.N.1.A.SI.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.SI.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from financial operations / Total / Slovenia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:12:46,
1995-12,0.035,
1996-01,0.036,
1996-02,0.034,
1996-03,0.035,
1996-04,0.031,
1996-05,0.030,
1996-06,0.031,
1996-07,0.032,
1996-08,0.031,
1996-09,0.033,
1996-10,0.031,
1996-11,0.049,
1996-12,0.045,
1997-01,0.044,
1997-02,0.043,
1997-03,0.046,
1997-04,0.044,
1997-05,0.058,
1997-06,0.059,
1997-07,0.049,
1997-08,0.054,
1997-09,0.053,
1997-10,0.056,
1997-11,0.064,
1997-12,0.077,
1998-01,0.080,
1998-02,0.082,
1998-03,0.082,
1998-04,0.080,
1998-05,0.083,
1998-06,0.092,
1998-07,0.088,
1998-08,0.086,
1998-09,0.083,
1998-10,0.082,
1998-11,0.081,
1998-12,0.112,
1999-01,0.120,
1999-02,0.131,
1999-03,0.118,
1999-04,0.130,
1999-05,0.125,
1999-06,0.120,
1999-07,0.122,
1999-08,0.124,
1999-09,0.134,
1999-10,0.137,
1999-11,0.140,
1999-12,0.141,
2000-01,0.142,
2000-02,0.142,
2000-03,0.147,
2000-04,0.147,
2000-05,0.149,
2000-06,0.156,
2000-07,0.158,
2000-08,0.157,
2000-09,0.156,
2000-10,0.161,
2000-11,0.168,
2000-12,0.171,
2001-01,0.168,
2001-02,0.169,
2001-03,0.145,
2001-04,0.146,
2001-05,0.154,
2001-06,0.162,
2001-07,0.156,
2001-08,0.160,
2001-09,0.158,
2001-10,0.155,
2001-11,0.156,
2001-12,0.158,
2002-01,0.153,
2002-02,0.151,
2002-03,0.154,
2002-04,0.151,
2002-05,0.156,
2002-06,0.163,
2002-07,0.160,
2002-08,0.160,
2002-09,0.179,
2002-10,0.175,
2002-11,0.169,
2002-12,0.169,
2003-01,0.168,
2003-02,0.172,
2003-03,0.177,
2003-04,0.176,
2003-05,0.159,
2003-06,0.158,
2003-07,0.158,
2003-08,0.162,
2003-09,0.163,
2003-10,0.173,
2003-11,0.179,
2003-12,0.177,
2004-01,0.177,
2004-02,0.178,
2004-03,0.181,
2004-04,0.179,
2004-05,0.183,
2004-06,0.169,
2004-07,0.135,
2004-08,0.159,
2004-09,0.120,
2004-10,0.121,
2004-11,0.064,
2004-12,0.062,
2005-01,0.064,
2005-02,0.068,
2005-03,0.071,
2005-04,0.069,
2005-05,0.064,
2005-06,0.063,
2005-07,0.063,
2005-08,0.072,
2005-09,0.064,
2005-10,0.061,
2005-11,0.066,
2005-12,0.059,
2006-01,0.065,
2006-02,0.069,
2006-03,0.064,
2006-04,0.067,
2006-05,0.069,
2006-06,0.050,
2006-07,0.048,
2006-08,0.048,
2006-09,0.057,
2006-10,0.052,
2006-11,0.046,
2006-12,0.053,
2007-01,0.052,
2007-02,0.047,
2007-03,0.044,
2007-04,0.050,
2007-05,0.060,
2007-06,0.061,
2007-07,0.066,
2007-08,0.072,
2007-09,0.063,
2007-10,0.066,
2007-11,0.071,
2007-12,0.054,
2008-01,0.061,
2008-02,0.066,
2008-03,0.074,
2008-04,0.074,
2008-05,0.075,
2008-06,0.076,
2008-07,0.128,
2008-08,0.092,
2008-09,0.103,
2008-10,0.094,
2008-11,0.102,
2008-12,0.105,
2009-01,0.105,
2009-02,0.105,
2009-03,0.104,
2009-04,0.121,
2009-05,0.130,
2009-06,0.148,
2009-07,0.138,
2009-08,0.127,
2009-09,0.130,
2009-10,0.132,
2009-11,0.121,
2009-12,0.132,
2010-01,0.169,
2010-02,0.161,
2010-03,0.163,
2010-04,0.157,
2010-05,0.175,
2010-06,0.194,
2010-07,0.206,
2010-08,0.206,
2010-09,0.208,
2010-10,0.209,
2010-11,0.201,
2010-12,0.192,
2011-01,0.192,
2011-02,0.187,
2011-03,0.184,
2011-04,0.189,
2011-05,0.187,
2011-06,0.190,
2011-07,0.211,
2011-08,0.225,
2011-09,0.212,
2011-10,0.199,
2011-11,0.214,
2011-12,0.219,
2012-01,0.219,
2012-02,0.228,
2012-03,0.230,
2012-04,0.228,
2012-05,0.244,
2012-06,0.240,
2012-07,0.222,
2012-08,0.219,
2012-09,0.230,
2012-10,0.232,
2012-11,0.245,
2012-12,0.234,
2013-01,0.231,
2013-02,0.235,
2013-03,0.224,
2013-04,0.214,
2013-05,0.214,
2013-06,0.211,
2013-07,0.200,
2013-08,0.210,
2013-09,0.204,
2013-10,0.189,
2013-11,0.191,
2013-12,0.188,
2014-01,0.196,
2014-02,0.213,
2014-03,0.205,
2014-04,0.206,
2014-05,0.207,
2014-06,0.217,
2014-07,0.219,
2014-08,0.243,
2014-09,0.234,
2014-10,0.228,
2014-11,0.217,
2014-12,0.231,
