"",BBK01.OEHO03U,BBK01.OEHO03U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:16:04,
2002-01,1.016,
2002-04,0.675,
2002-07,0.669,
2002-10,0.732,
2003-01,0.680,
2003-04,0.552,
2003-07,0.499,
2003-10,0.619,
2004-01,0.641,
2004-04,0.480,
2004-07,0.473,
2004-10,0.570,
2005-01,0.542,
2005-04,0.552,
2005-07,0.508,
2005-10,0.670,
2006-01,0.602,
2006-04,0.559,
2006-07,0.603,
2006-10,0.793,
2007-01,0.738,
2007-04,0.618,
2007-07,0.627,
2007-10,0.712,
2008-01,0.716,
2008-04,0.631,
2008-07,0.683,
2008-10,0.655,
2009-01,0.565,
2009-04,0.528,
2009-07,0.619,
2009-10,0.731,
2010-01,0.482,
2010-04,0.442,
2010-07,0.425,
2010-10,0.509,
2011-01,0.484,
2011-04,0.497,
2011-07,0.451,
2011-10,0.553,
2012-01,0.484,
2012-04,0.485,
2012-07,0.468,
2012-10,0.484,
2013-01,0.467,
2013-04,0.405,
2013-07,0.383,
2013-10,0.422,
2014-01,0.398,
2014-04,0.404,
2014-07,0.368,
