"",BBK01.OEAE03Q,BBK01.OEAE03Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:18,
2002-01,1.091,
2002-04,1.110,
2002-07,1.257,
2002-10,2.110,
2003-01,2.062,
2003-04,2.080,
2003-07,2.273,
2003-10,1.532,
2004-01,1.583,
2004-04,1.105,
2004-07,1.466,
2004-10,1.468,
2005-01,1.412,
2005-04,1.434,
2005-07,1.408,
2005-10,1.300,
2006-01,1.701,
2006-04,1.569,
2006-07,1.503,
2006-10,1.595,
2007-01,1.916,
2007-04,2.261,
2007-07,2.034,
2007-10,2.142,
2008-01,1.880,
2008-04,1.456,
2008-07,1.346,
2008-10,1.396,
2009-01,1.203,
2009-04,0.994,
2009-07,0.977,
2009-10,0.971,
2010-01,1.095,
2010-04,1.185,
2010-07,0.862,
2010-10,0.976,
2011-01,0.916,
2011-04,0.870,
2011-07,0.641,
2011-10,0.653,
2012-01,0.662,
2012-04,0.836,
2012-07,0.685,
2012-10,0.830,
2013-01,0.845,
2013-04,0.743,
2013-07,0.742,
2013-10,0.831,
2014-01,0.638,
2014-04,0.659,
2014-07,0.625,
