"",BBK01.OEAH74J,BBK01.OEAH74J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:20,
2002-01,0.188,
2002-04,0.137,
2002-07,0.163,
2002-10,0.142,
2003-01,0.199,
2003-04,0.324,
2003-07,0.170,
2003-10,0.098,
2004-01,0.177,
2004-04,0.322,
2004-07,0.393,
2004-10,0.082,
2005-01,0.372,
2005-04,0.476,
2005-07,0.518,
2005-10,0.670,
2006-01,0.404,
2006-04,0.651,
2006-07,0.588,
2006-10,0.457,
2007-01,0.289,
2007-04,0.372,
2007-07,0.519,
2007-10,0.323,
2008-01,0.178,
2008-04,0.637,
2008-07,0.552,
2008-10,0.342,
2009-01,0.175,
2009-04,0.177,
2009-07,0.257,
2009-10,0.331,
2010-01,0.564,
2010-04,0.926,
2010-07,0.806,
2010-10,0.643,
2011-01,0.535,
2011-04,0.676,
2011-07,0.395,
2011-10,0.687,
2012-01,0.809,
2012-04,0.757,
2012-07,0.531,
2012-10,0.680,
2013-01,0.849,
2013-04,0.722,
2013-07,0.704,
2013-10,0.770,
2014-01,1.106,
2014-04,1.046,
2014-07,1.040,
