"",BBK01.OUU355,BBK01.OUU355_FLAGS
"",Lending to local government and local government associations / Total / Building and loan associations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 08:57:22,
1999-01,1.268,
1999-02,1.238,
1999-03,1.189,
1999-04,1.169,
1999-05,1.147,
1999-06,1.125,
1999-07,1.111,
1999-08,1.100,
1999-09,1.098,
1999-10,1.093,
1999-11,1.092,
1999-12,1.122,
2000-01,1.128,
2000-02,1.118,
2000-03,1.120,
2000-04,1.049,
2000-05,1.125,
2000-06,1.134,
2000-07,1.130,
2000-08,1.138,
2000-09,1.149,
2000-10,1.148,
2000-11,1.151,
2000-12,1.169,
2001-01,1.168,
2001-02,1.153,
2001-03,1.148,
2001-04,1.047,
2001-05,1.040,
2001-06,1.039,
2001-07,1.034,
2001-08,1.021,
2001-09,1.015,
2001-10,1.008,
2001-11,1.005,
2001-12,0.997,
2002-01,0.989,
2002-02,0.988,
2002-03,0.988,
2002-04,0.994,
2002-05,0.983,
2002-06,0.966,
2002-07,0.948,
2002-08,0.944,
2002-09,0.959,
2002-10,0.954,
2002-11,0.950,
2002-12,0.917,
2003-01,0.895,
2003-02,0.879,
2003-03,0.859,
2003-04,0.816,
2003-05,0.807,
2003-06,0.798,
2003-07,0.785,
2003-08,0.774,
2003-09,0.770,
2003-10,0.764,
2003-11,0.760,
2003-12,0.739,
2004-01,0.732,
2004-02,0.727,
2004-03,0.725,
2004-04,0.689,
2004-05,0.685,
2004-06,0.686,
2004-07,0.655,
2004-08,0.635,
2004-09,0.634,
2004-10,0.627,
2004-11,0.620,
2004-12,0.575,
2005-01,0.574,
2005-02,0.532,
2005-03,0.526,
2005-04,0.521,
2005-05,0.514,
2005-06,0.486,
2005-07,0.480,
2005-08,0.468,
2005-09,0.464,
2005-10,0.454,
2005-11,0.455,
2005-12,0.436,
2006-01,0.435,
2006-02,0.430,
2006-03,0.424,
2006-04,0.421,
2006-05,0.421,
2006-06,0.421,
2006-07,0.415,
2006-08,0.414,
2006-09,0.413,
2006-10,0.411,
2006-11,0.401,
2006-12,0.398,
2007-01,0.396,
2007-02,0.395,
2007-03,0.392,
2007-04,0.390,
2007-05,0.390,
2007-06,0.390,
2007-07,0.383,
2007-08,0.385,
2007-09,0.386,
2007-10,0.408,
2007-11,0.408,
2007-12,0.404,
2008-01,0.403,
2008-02,0.416,
2008-03,0.412,
2008-04,0.410,
2008-05,0.407,
2008-06,0.417,
2008-07,0.432,
2008-08,0.429,
2008-09,0.427,
2008-10,0.428,
2008-11,0.430,
2008-12,0.425,
2009-01,0.417,
2009-02,0.416,
2009-03,0.366,
2009-04,0.364,
2009-05,0.366,
2009-06,0.366,
2009-07,0.359,
2009-08,0.380,
2009-09,0.376,
2009-10,0.375,
2009-11,0.382,
2009-12,0.362,
2010-01,0.362,
2010-02,0.354,
2010-03,0.373,
2010-04,0.368,
2010-05,0.366,
2010-06,0.335,
2010-07,0.343,
2010-08,0.340,
2010-09,0.340,
2010-10,0.334,
2010-11,0.338,
2010-12,0.339,
2011-01,0.338,
2011-02,0.332,
2011-03,0.332,
2011-04,0.331,
2011-05,0.329,
2011-06,0.326,
2011-07,0.323,
2011-08,0.337,
2011-09,0.329,
2011-10,0.321,
2011-11,0.321,
2011-12,0.326,
2012-01,0.322,
2012-02,0.319,
2012-03,0.317,
2012-04,0.316,
2012-05,0.313,
2012-06,0.312,
2012-07,0.303,
2012-08,0.308,
2012-09,0.312,
2012-10,0.306,
2012-11,0.306,
2012-12,0.309,
2013-01,0.306,
2013-02,0.304,
2013-03,0.316,
2013-04,0.349,
2013-05,0.366,
2013-06,0.372,
2013-07,0.369,
2013-08,0.368,
2013-09,0.369,
2013-10,0.364,
2013-11,0.363,
2013-12,0.346,
2014-01,0.345,
2014-02,0.348,
2014-03,0.346,
2014-04,0.348,
2014-05,0.361,
2014-06,0.359,
2014-07,0.368,
2014-08,0.367,
2014-09,0.390,
2014-10,0.398,
2014-11,0.397,
2014-12,0.435,Provisional value
