"",BBK01.OEBO01P,BBK01.OEBO01P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:44,
2002-01,0.510,
2002-04,0.498,
2002-07,0.446,
2002-10,0.440,
2003-01,0.457,
2003-04,0.452,
2003-07,0.464,
2003-10,0.498,
2004-01,0.502,
2004-04,0.487,
2004-07,0.478,
2004-10,0.485,
2005-01,0.891,
2005-04,0.894,
2005-07,0.900,
2005-10,0.908,
2006-01,0.926,
2006-04,0.912,
2006-07,0.897,
2006-10,0.861,
2007-01,0.841,
2007-04,0.890,
2007-07,0.897,
2007-10,0.918,
2008-01,0.967,
2008-04,0.984,
2008-07,0.992,
2008-10,0.976,
2009-01,1.071,
2009-04,1.098,
2009-07,1.118,
2009-10,1.162,
2010-01,1.150,
2010-04,1.136,
2010-07,1.122,
2010-10,1.121,
2011-01,1.201,
2011-04,1.186,
2011-07,1.148,
2011-10,1.135,
2012-01,1.141,
2012-04,1.172,
2012-07,1.145,
2012-10,1.122,
2013-01,1.108,
2013-04,1.063,
2013-07,1.029,
2013-10,0.997,
2014-01,0.984,
2014-04,0.950,
2014-07,0.927,
