"",BBK01.OELB17U,BBK01.OELB17U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:47,
2002-01,1.168,
2002-04,1.163,
2002-07,1.174,
2002-10,1.167,
2003-01,1.155,
2003-04,1.149,
2003-07,1.143,
2003-10,1.111,
2004-01,1.102,
2004-04,1.101,
2004-07,1.092,
2004-10,1.203,
2005-01,1.163,
2005-04,1.166,
2005-07,1.195,
2005-10,1.190,
2006-01,1.184,
2006-04,1.183,
2006-07,1.174,
2006-10,1.096,
2007-01,1.082,
2007-04,1.077,
2007-07,1.072,
2007-10,1.062,
2008-01,1.056,
2008-04,1.061,
2008-07,1.071,
2008-10,1.066,
2009-01,1.059,
2009-04,1.075,
2009-07,1.086,
2009-10,1.087,
2010-01,1.088,
2010-04,1.110,
2010-07,1.123,
2010-10,1.129,
2011-01,1.134,
2011-04,1.156,
2011-07,1.169,
2011-10,1.176,
2012-01,1.177,
2012-04,1.256,
2012-07,1.277,
2012-10,1.289,
2013-01,1.292,
2013-04,1.326,
2013-07,1.352,
2013-10,1.358,
2014-01,1.369,
2014-04,1.385,
2014-07,1.411,
