"",BBK01.OEAN02V,BBK01.OEAN02V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:22,
2002-01,18.242,
2002-04,17.729,
2002-07,17.772,
2002-10,18.473,
2003-01,18.462,
2003-04,17.590,
2003-07,17.655,
2003-10,18.100,
2004-01,18.582,
2004-04,18.647,
2004-07,18.738,
2004-10,19.336,
2005-01,21.122,
2005-04,21.054,
2005-07,20.632,
2005-10,21.060,
2006-01,21.081,
2006-04,20.924,
2006-07,20.740,
2006-10,21.001,
2007-01,20.998,
2007-04,20.811,
2007-07,20.712,
2007-10,21.009,
2008-01,20.802,
2008-04,20.511,
2008-07,20.241,
2008-10,21.074,
2009-01,21.172,
2009-04,21.031,
2009-07,21.051,
2009-10,21.293,
2010-01,21.108,
2010-04,20.850,
2010-07,20.913,
2010-10,21.408,
2011-01,21.463,
2011-04,21.176,
2011-07,21.143,
2011-10,21.352,
2012-01,21.492,
2012-04,21.576,
2012-07,21.584,
2012-10,21.768,
2013-01,21.524,
2013-04,21.286,
2013-07,21.074,
2013-10,21.099,
2014-01,21.010,
2014-04,20.884,
2014-07,20.957,
