"",BBK01.OECB24R,BBK01.OECB24R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:44,
2002-01,0.324,
2002-04,0.323,
2002-07,0.323,
2002-10,0.306,
2003-01,0.302,
2003-04,0.297,
2003-07,0.286,
2003-10,0.290,
2004-01,0.277,
2004-04,0.275,
2004-07,0.267,
2004-10,0.264,
2005-01,0.359,
2005-04,0.350,
2005-07,0.344,
2005-10,0.315,
2006-01,0.303,
2006-04,0.294,
2006-07,0.306,
2006-10,0.287,
2007-01,0.323,
2007-04,0.266,
2007-07,0.265,
2007-10,0.266,
2008-01,0.267,
2008-04,0.265,
2008-07,0.262,
2008-10,0.181,
2009-01,0.178,
2009-04,0.169,
2009-07,0.167,
2009-10,0.086,
2010-01,0.083,
2010-04,0.081,
2010-07,0.079,
2010-10,0.074,
2011-01,0.071,
2011-04,0.067,
2011-07,0.065,
2011-10,0.063,
2012-01,0.059,
2012-04,0.056,
2012-07,0.054,
2012-10,0.053,
2013-01,0.041,
2013-04,0.040,
2013-07,0.039,
2013-10,0.032,
2014-01,0.034,
2014-04,0.038,
2014-07,0.037,
