"",BBK01.OEYB08S,BBK01.OEYB08S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:31,
2002-01,5.941,
2002-04,5.923,
2002-07,5.961,
2002-10,6.066,
2003-01,6.098,
2003-04,6.129,
2003-07,6.174,
2003-10,6.329,
2004-01,6.233,
2004-04,6.289,
2004-07,6.326,
2004-10,4.907,
2005-01,4.850,
2005-04,4.850,
2005-07,4.794,
2005-10,4.736,
2006-01,4.708,
2006-04,4.725,
2006-07,4.757,
2006-10,4.703,
2007-01,4.793,
2007-04,4.861,
2007-07,4.968,
2007-10,4.917,
2008-01,5.006,
2008-04,5.094,
2008-07,5.192,
2008-10,5.169,
2009-01,5.183,
2009-04,5.158,
2009-07,5.147,
2009-10,5.086,
2010-01,5.117,
2010-04,5.173,
2010-07,5.177,
2010-10,5.112,
2011-01,5.114,
2011-04,5.229,
2011-07,5.263,
2011-10,5.299,
2012-01,5.313,
2012-04,5.510,
2012-07,5.555,
2012-10,5.670,
2013-01,5.590,
2013-04,5.607,
2013-07,5.612,
2013-10,5.618,
2014-01,5.550,
2014-04,5.550,
2014-07,5.601,
