"",BBFB1.Q.N.DE.SG.S1.S1.T.A.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.SG.S1.S1.T.A.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Equity / Reinvested earnings / Singapore,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:48:12,
1991-01,-2.575,
1991-04,3.337,
1991-07,3.542,
1991-10,-6.735,
1992-01,-8.926,
1992-04,2.801,
1992-07,2.010,
1992-10,2.962,
1993-01,-1.572,
1993-04,3.017,
1993-07,3.394,
1993-10,-25.230,
1994-01,8.359,
1994-04,14.100,
1994-07,15.421,
1994-10,14.474,
1995-01,16.499,
1995-04,18.779,
1995-07,18.779,
1995-10,18.779,
1996-01,10.713,
1996-04,15.673,
1996-07,15.673,
1996-10,15.673,
1997-01,-202.726,
1997-04,-206.270,
1997-07,-202.726,
1997-10,-202.726,
1998-01,-361.016,
1998-04,-240.067,
1998-07,-51.388,
1998-10,-175.213,
1999-01,-292.465,
1999-04,42.860,
1999-07,111.000,
1999-10,111.000,
2000-01,139.486,
2000-04,98.289,
2000-07,154.000,
2000-10,153.000,
2001-01,-43.937,
2001-04,154.000,
2001-07,155.719,
2001-10,-143.741,
2002-01,41.357,
2002-04,51.233,
2002-07,91.457,
2002-10,-101.557,
2003-01,-35.292,
2003-04,-62.463,
2003-07,-63.664,
2003-10,66.695,
2004-01,215.070,
2004-04,101.798,
2004-07,9.864,
2004-10,209.681,
2005-01,53.209,
2005-04,48.792,
2005-07,-463.126,
2005-10,123.152,
2006-01,98.738,
2006-04,-10.857,
2006-07,-37.030,
2006-10,35.163,
2007-01,100.532,
2007-04,41.624,
2007-07,91.849,
2007-10,-32.836,
2008-01,77.581,
2008-04,33.990,
2008-07,-0.596,
2008-10,17.525,
2009-01,-43.666,
2009-04,-153.008,
2009-07,-10.668,
2009-10,87.341,
2010-01,63.612,
2010-04,29.457,
2010-07,143.670,
2010-10,86.101,
2011-01,92.386,
2011-04,-59.428,
2011-07,-5.654,
2011-10,81.769,
2012-01,145.397,
2012-04,78.308,
2012-07,-161.552,
2012-10,84.832,
2013-01,186.178,
2013-04,188.664,
2013-07,-69.387,
2013-10,164.804,
2014-01,209.189,Provisional value
2014-04,128.030,Provisional value
2014-07,28.352,Provisional value
2014-10,176.887,Provisional value
