"",BBK01.CEHS3Q,BBK01.CEHS3Q_FLAGS
"",Savings certificates (consolidated) debtor: Monetary financial institutions                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:14:45,
1991-01,1.8,
1991-04,0.9,
1991-07,-0.6,
1991-10,2.9,
1992-01,1.6,
1992-04,0.0,
1992-07,-0.1,
1992-10,2.3,
1993-01,-1.0,
1993-04,-1.6,
1993-07,-1.8,
1993-10,-0.3,
1994-01,-5.9,
1994-04,-1.6,
1994-07,-0.6,
1994-10,5.0,
1995-01,4.1,
1995-04,1.7,
1995-07,0.3,
1995-10,1.3,
1996-01,-2.5,
1996-04,-0.1,
1996-07,1.2,
1996-10,2.9,
1997-01,0.5,
1997-04,0.7,
1997-07,0.3,
1997-10,3.1,
1998-01,2.6,
1998-04,0.6,
1998-07,-0.7,
1998-10,-2.4,
1999-01,-5.6,
1999-04,-2.1,
1999-07,-1.6,
1999-10,0.5,
2000-01,-2.6,
2000-04,0.0,
2000-07,0.2,
2000-10,1.7,
2001-01,0.6,
2001-04,-0.1,
2001-07,-0.3,
2001-10,-2.8,
2002-01,-1.1,
2002-04,1.0,
2002-07,-0.2,
2002-10,-0.8,
2003-01,-1.9,
2003-04,-1.8,
2003-07,-1.6,
2003-10,0.8,
2004-01,1.0,
2004-04,-0.6,
2004-07,-0.4,
2004-10,0.6,
2005-01,-0.8,
2005-04,-0.4,
2005-07,-2.3,
2005-10,-0.7,
2006-01,0.4,
2006-04,1.0,
2006-07,2.0,
2006-10,3.0,
2007-01,4.9,
2007-04,4.6,
2007-07,5.8,
2007-10,7.0,
2008-01,4.3,
2008-04,5.5,
2008-07,4.2,
2008-10,5.5,
2009-01,-4.6,
2009-04,-11.3,
2009-07,-8.6,
2009-10,-5.2,
2010-01,-1.8,
2010-04,-0.3,
2010-07,-1.5,
2010-10,1.6,
2011-01,1.6,
2011-04,3.9,
2011-07,2.0,
2011-10,2.3,
2012-01,-2.1,
2012-04,-1.4,
2012-07,-3.5,
2012-10,-4.6,
2013-01,-7.0,
2013-04,-5.9,
2013-07,-3.6,
2013-10,-1.7,
2014-01,-4.6,
