"",BBK01.OEAD20M,BBK01.OEAD20M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:14,
2002-01,0.773,
2002-04,0.761,
2002-07,0.725,
2002-10,0.738,
2003-01,0.720,
2003-04,0.779,
2003-07,0.699,
2003-10,0.738,
2004-01,0.699,
2004-04,0.614,
2004-07,0.593,
2004-10,0.635,
2005-01,0.675,
2005-04,0.697,
2005-07,0.710,
2005-10,0.698,
2006-01,0.688,
2006-04,0.705,
2006-07,0.688,
2006-10,0.683,
2007-01,0.658,
2007-04,0.665,
2007-07,0.672,
2007-10,0.716,
2008-01,0.661,
2008-04,0.684,
2008-07,0.721,
2008-10,0.660,
2009-01,0.749,
2009-04,0.751,
2009-07,0.667,
2009-10,0.760,
2010-01,0.576,
2010-04,0.585,
2010-07,0.624,
2010-10,0.590,
2011-01,0.663,
2011-04,0.629,
2011-07,0.698,
2011-10,0.696,
2012-01,0.678,
2012-04,0.723,
2012-07,0.754,
2012-10,0.794,
2013-01,0.779,
2013-04,0.827,
2013-07,0.769,
2013-10,0.731,
2014-01,0.746,
2014-04,0.619,
2014-07,0.585,
