"",BBK01.OELB19V,BBK01.OELB19V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:57,
2002-01,0.194,
2002-04,0.184,
2002-07,0.178,
2002-10,0.168,
2003-01,0.161,
2003-04,0.151,
2003-07,0.135,
2003-10,0.127,
2004-01,0.122,
2004-04,0.117,
2004-07,0.113,
2004-10,0.127,
2005-01,0.120,
2005-04,0.115,
2005-07,0.110,
2005-10,0.105,
2006-01,0.099,
2006-04,0.097,
2006-07,0.093,
2006-10,0.075,
2007-01,0.073,
2007-04,0.069,
2007-07,0.067,
2007-10,0.062,
2008-01,0.062,
2008-04,0.061,
2008-07,0.063,
2008-10,0.064,
2009-01,0.065,
2009-04,0.066,
2009-07,0.068,
2009-10,0.066,
2010-01,0.066,
2010-04,0.067,
2010-07,0.068,
2010-10,0.065,
2011-01,0.065,
2011-04,0.068,
2011-07,0.070,
2011-10,0.068,
2012-01,0.067,
2012-04,0.074,
2012-07,0.077,
2012-10,0.078,
2013-01,0.080,
2013-04,0.081,
2013-07,0.079,
2013-10,0.079,
2014-01,0.078,
2014-04,0.080,
2014-07,0.080,
