"",BBDA1.M.DE.N.IM.S.A.IT.A.V.ABA.A,BBDA1.M.DE.N.IM.S.A.IT.A.V.ABA.A_FLAGS
"","Imports / At current prices, flows / Aggregate / all goods / Italy / Unadjusted figure",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:39:12,
1990-07,2593621,
1990-08,1806953,
1990-09,1942638,
1990-10,2510400,
1990-11,2656272,
1990-12,2362222,
1991-01,2612820,
1991-02,2425527,
1991-03,2565050,
1991-04,2470782,
1991-05,2576551,
1991-06,2614458,
1991-07,3224814,
1991-08,2012563,
1991-09,2275730,
1991-10,2775060,
1991-11,2548956,
1991-12,2426800,
1992-01,2283194,
1992-02,2502063,
1992-03,2815311,
1992-04,2725616,
1992-05,2367283,
1992-06,2496987,
1992-07,3169280,
1992-08,1765299,
1992-09,2185158,
1992-10,2630860,
1992-11,2408226,
1992-12,2544923,
1993-01,1932297,
1993-02,1961264,
1993-03,2277441,
1993-04,1795571,
1993-05,2053285,
1993-06,2056870,
1993-07,2307655,
1993-08,1769030,
1993-09,2024329,
1993-10,2099942,
1993-11,2235511,
1993-12,2120346,
1994-01,1773114,
1994-02,1997180,
1994-03,2385064,
1994-04,1958353,
1994-05,2442012,
1994-06,2319672,
1994-07,2489989,
1994-08,1910077,
1994-09,2224675,
1994-10,2380937,
1994-11,2317112,
1994-12,2302227,
1995-01,2287714,
1995-02,2396223,
1995-03,2602675,
1995-04,2315152,
1995-05,2531996,
1995-06,2633483,
1995-07,2776898,
1995-08,2012491,
1995-09,2350827,
1995-10,2425977,
1995-11,2409644,
1995-12,2311047,
1996-01,2612033,
1996-02,2396305,
1996-03,2440352,
1996-04,2533580,
1996-05,2427604,
1996-06,2524806,
1996-07,2823460,
1996-08,2087667,
1996-09,2195897,
1996-10,2725019,
1996-11,2490505,
1996-12,2573205,
1997-01,2322234,
1997-02,2544199,
1997-03,2561366,
1997-04,2521119,
1997-05,2516973,
1997-06,2865366,
1997-07,3024791,
1997-08,2234753,
1997-09,2496356,
1997-10,2729879,
1997-11,2876982,
1997-12,2532689,
1998-01,2788317,
1998-02,2607257,
1998-03,2699584,
1998-04,3054055,
1998-05,2537984,
1998-06,3012305,
1998-07,3197028,
1998-08,2265484,
1998-09,2405573,
1998-10,3028767,
1998-11,2672112,
1998-12,2716373,
1999-01,2499969,
1999-02,2637931,
1999-03,2917357,
1999-04,2605229,
1999-05,3014816,
1999-06,2943174,
1999-07,2856161,
1999-08,2652720,
1999-09,2544025,
1999-10,2696580,
1999-11,2955123,
1999-12,2783749,
2000-01,2769513,
2000-02,2605486,
2000-03,3191294,
2000-04,2880283,
2000-05,3133905,
2000-06,2978556,
