"",BBK01.OEXI06T,BBK01.OEXI06T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:05,
2002-01,0.036,
2002-04,0.036,
2002-07,0.033,
2002-10,0.032,
2003-01,0.034,
2003-04,0.031,
2003-07,0.030,
2003-10,0.030,
2004-01,0.038,
2004-04,0.039,
2004-07,0.038,
2004-10,0.032,
2005-01,0.041,
2005-04,0.041,
2005-07,0.040,
2005-10,0.040,
2006-01,0.039,
2006-04,0.042,
2006-07,0.048,
2006-10,0.050,
2007-01,0.054,
2007-04,0.056,
2007-07,0.059,
2007-10,0.067,
2008-01,0.075,
2008-04,0.084,
2008-07,0.088,
2008-10,0.097,
2009-01,0.108,
2009-04,0.093,
2009-07,0.084,
2009-10,0.077,
2010-01,0.089,
2010-04,0.112,
2010-07,0.123,
2010-10,0.131,
2011-01,0.147,
2011-04,0.160,
2011-07,0.172,
2011-10,0.208,
2012-01,0.205,
2012-04,0.210,
2012-07,0.208,
2012-10,0.196,
2013-01,0.173,
2013-04,0.157,
2013-07,0.166,
2013-10,0.182,
2014-01,0.194,
2014-04,0.213,
2014-07,0.253,
