"",BBK01.OEHL06P,BBK01.OEHL06P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:04,
2002-01,0.280,
2002-04,0.282,
2002-07,0.282,
2002-10,0.267,
2003-01,0.258,
2003-04,0.248,
2003-07,0.233,
2003-10,0.230,
2004-01,0.230,
2004-04,0.230,
2004-07,0.226,
2004-10,0.235,
2005-01,0.226,
2005-04,0.218,
2005-07,0.208,
2005-10,0.205,
2006-01,0.198,
2006-04,0.194,
2006-07,0.193,
2006-10,0.204,
2007-01,0.233,
2007-04,0.256,
2007-07,0.273,
2007-10,0.285,
2008-01,0.318,
2008-04,0.346,
2008-07,0.366,
2008-10,0.375,
2009-01,0.350,
2009-04,0.290,
2009-07,0.256,
2009-10,0.243,
2010-01,0.230,
2010-04,0.199,
2010-07,0.187,
2010-10,0.175,
2011-01,0.181,
2011-04,0.178,
2011-07,0.175,
2011-10,0.180,
2012-01,0.169,
2012-04,0.164,
2012-07,0.155,
2012-10,0.147,
2013-01,0.143,
2013-04,0.137,
2013-07,0.132,
2013-10,0.140,
2014-01,0.145,
2014-04,0.146,
2014-07,0.143,
