"",BBK01.OELL07K,BBK01.OELL07K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:20,
2002-01,1.614,
2002-04,1.604,
2002-07,1.600,
2002-10,1.648,
2003-01,1.691,
2003-04,1.696,
2003-07,1.697,
2003-10,1.818,
2004-01,1.871,
2004-04,1.896,
2004-07,1.903,
2004-10,1.995,
2005-01,2.019,
2005-04,2.012,
2005-07,2.033,
2005-10,2.079,
2006-01,2.095,
2006-04,2.128,
2006-07,2.166,
2006-10,2.252,
2007-01,2.212,
2007-04,2.094,
2007-07,2.038,
2007-10,2.072,
2008-01,1.995,
2008-04,1.918,
2008-07,1.717,
2008-10,1.679,
2009-01,1.709,
2009-04,1.757,
2009-07,1.761,
2009-10,1.788,
2010-01,1.868,
2010-04,1.927,
2010-07,2.030,
2010-10,2.134,
2011-01,2.166,
2011-04,2.168,
2011-07,2.126,
2011-10,2.054,
2012-01,2.039,
2012-04,2.028,
2012-07,1.988,
2012-10,1.985,
2013-01,2.020,
2013-04,2.015,
2013-07,2.020,
2013-10,2.027,
2014-01,2.250,
2014-04,2.236,
2014-07,2.228,
