"",BBK01.OEAF26S,BBK01.OEAF26S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:57,
2002-01,0.150,
2002-04,0.151,
2002-07,0.154,
2002-10,0.152,
2003-01,0.149,
2003-04,0.148,
2003-07,0.153,
2003-10,0.154,
2004-01,0.151,
2004-04,0.149,
2004-07,0.146,
2004-10,0.143,
2005-01,0.147,
2005-04,0.152,
2005-07,0.151,
2005-10,0.149,
2006-01,0.157,
2006-04,0.162,
2006-07,0.165,
2006-10,0.164,
2007-01,0.164,
2007-04,0.163,
2007-07,0.163,
2007-10,0.161,
2008-01,0.155,
2008-04,0.158,
2008-07,0.154,
2008-10,0.151,
2009-01,0.149,
2009-04,0.151,
2009-07,0.152,
2009-10,0.146,
2010-01,0.145,
2010-04,0.149,
2010-07,0.149,
2010-10,0.159,
2011-01,0.156,
2011-04,0.156,
2011-07,0.157,
2011-10,0.149,
2012-01,0.146,
2012-04,0.146,
2012-07,0.191,
2012-10,0.188,
2013-01,0.186,
2013-04,0.189,
2013-07,0.198,
2013-10,0.195,
2014-01,0.196,
2014-04,0.200,
2014-07,0.205,
