"",BBSF2.M.1.P.00000.TOT01.I.F.INV.U2.00000.F05200.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.INV.U2.00000.F05200.Z01.00_FLAGS
"",Public funds / Funds total / Investment fund shares / Euro area (changing composition),
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:29,
2009-09,31130,
2009-10,31391,
2009-11,31863,
2009-12,32353,
2010-01,32685,
2010-02,33330,
2010-03,34890,
2010-04,35311,
2010-05,34463,
2010-06,33830,
2010-07,34263,
2010-08,35034,
2010-09,35199,
2010-10,36161,
2010-11,36285,
2010-12,37078,
2011-01,36484,
2011-02,36634,
2011-03,35284,
2011-04,35767,
2011-05,35565,
2011-06,34895,
2011-07,34858,
2011-08,32361,
2011-09,31184,
2011-10,31913,
2011-11,30901,
2011-12,31475,
2012-01,32154,
2012-02,32493,
2012-03,32688,
2012-04,32436,
2012-05,31147,
2012-06,30819,
2012-07,31833,
2012-08,31911,
2012-09,32130,
2012-10,32330,
2012-11,33025,
2012-12,33358,
2013-01,33749,
2013-02,34743,
2013-03,35435,
2013-04,36005,
2013-05,36416,
2013-06,35943,
2013-07,36565,
2013-08,36676,
2013-09,37140,
2013-10,38159,
2013-11,38495,
2013-12,38665,
2014-01,38710,
2014-02,39632,
2014-03,39690,
2014-04,39700,
2014-05,41063,
2014-06,41503,
2014-07,42170,
2014-08,42714,
2014-09,43489,
2014-10,43374,
2014-11,44982,
