"",BBDA1.M.DE.N.EX.S.GP09I028.W1.A.V.ABA.A,BBDA1.M.DE.N.EX.S.GP09I028.W1.A.V.ABA.A_FLAGS
"","Exports / At current prices, flows / 28 Machinery and equipment / Rest of the World / Unadjusted figure",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:38:47,
2008-01,13315599,
2008-02,13060653,
2008-03,13375588,
2008-04,14271071,
2008-05,12801001,
2008-06,14520196,
2008-07,14322873,
2008-08,12071237,
2008-09,13715318,
2008-10,14411627,
2008-11,12600056,
2008-12,12028345,
2009-01,10459387,
2009-02,10298697,
2009-03,11469138,
2009-04,10508624,
2009-05,9383053,
2009-06,10113866,
2009-07,11221483,
2009-08,8956893,
2009-09,10173485,
2009-10,10647602,
2009-11,10374049,
2009-12,10988250,
2010-01,8520813,
2010-02,9685350,
2010-03,12696351,
2010-04,11173431,
2010-05,11034346,
2010-06,12751575,
2010-07,12623867,
2010-08,11248897,
2010-09,12724733,
2010-10,12786005,
2010-11,12981926,
2010-12,13575399,
2011-01,11242295,
2011-02,12303167,
2011-03,15108904,
2011-04,13153589,
2011-05,14466041,
2011-06,13536476,
2011-07,13820942,
2011-08,13180973,
2011-09,14286892,
2011-10,13418226,
2011-11,14441721,
2011-12,14064708,
2012-01,12513032,
2012-02,13869796,
2012-03,15308259,
2012-04,13566357,
2012-05,14039990,
2012-06,14873379,
2012-07,14576587,
2012-08,13423064,
2012-09,13027151,
2012-10,13931600,
2012-11,13877646,
2012-12,12625741,
2013-01,12652155,
2013-02,12870199,
2013-03,14107034,
2013-04,14578475,
2013-05,13650563,
2013-06,14266146,
2013-07,14621473,
2013-08,12574174,
2013-09,13635605,
2013-10,13963334,
2013-11,13773185,
2013-12,13360640,
2014-01,12678459,
2014-02,13460026,
2014-03,14426935,
2014-04,14235811,
2014-05,13846185,
2014-06,14393056,
2014-07,15197122,
2014-08,12537689,
2014-09,14502645,
2014-10,14935285,
2014-11,14011170,
2014-12,14057480,
