"",BBK01.OEAC32Q,BBK01.OEAC32Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:02,
2002-01,0.539,
2002-04,0.564,
2002-07,0.618,
2002-10,0.481,
2003-01,0.502,
2003-04,0.468,
2003-07,0.471,
2003-10,0.486,
2004-01,0.539,
2004-04,0.524,
2004-07,0.460,
2004-10,0.507,
2005-01,0.498,
2005-04,0.491,
2005-07,0.527,
2005-10,0.538,
2006-01,0.554,
2006-04,0.571,
2006-07,0.571,
2006-10,0.637,
2007-01,0.704,
2007-04,0.745,
2007-07,0.911,
2007-10,0.870,
2008-01,0.634,
2008-04,0.592,
2008-07,0.622,
2008-10,0.606,
2009-01,0.576,
2009-04,0.589,
2009-07,0.544,
2009-10,0.538,
2010-01,0.519,
2010-04,0.448,
2010-07,0.304,
2010-10,0.253,
2011-01,0.243,
2011-04,0.221,
2011-07,0.201,
2011-10,0.220,
2012-01,0.228,
2012-04,0.269,
2012-07,0.263,
2012-10,0.271,
2013-01,0.289,
2013-04,0.234,
2013-07,0.250,
2013-10,0.257,
2014-01,0.255,
2014-04,0.243,
2014-07,0.241,
