"",BBK01.OEAD26M,BBK01.OEAD26M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:16,
2002-01,0.570,
2002-04,0.286,
2002-07,0.180,
2002-10,0.170,
2003-01,0.299,
2003-04,0.173,
2003-07,0.281,
2003-10,0.172,
2004-01,0.184,
2004-04,0.254,
2004-07,0.483,
2004-10,0.188,
2005-01,0.214,
2005-04,0.182,
2005-07,0.169,
2005-10,0.164,
2006-01,0.162,
2006-04,0.147,
2006-07,0.140,
2006-10,0.133,
2007-01,0.134,
2007-04,0.130,
2007-07,0.137,
2007-10,0.505,
2008-01,0.517,
2008-04,0.526,
2008-07,0.548,
2008-10,0.542,
2009-01,0.532,
2009-04,0.545,
2009-07,0.519,
2009-10,0.494,
2010-01,0.441,
2010-04,0.260,
2010-07,0.291,
2010-10,0.308,
2011-01,0.331,
2011-04,0.278,
2011-07,0.263,
2011-10,0.288,
2012-01,0.290,
2012-04,0.285,
2012-07,0.274,
2012-10,0.283,
2013-01,0.254,
2013-04,0.264,
2013-07,0.277,
2013-10,0.261,
2014-01,0.254,
2014-04,0.240,
2014-07,0.238,
