"",BBK01.OEAH05Q,BBK01.OEAH05Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:59,
2002-01,14.761,
2002-04,14.847,
2002-07,13.579,
2002-10,14.156,
2003-01,14.940,
2003-04,15.297,
2003-07,15.958,
2003-10,15.729,
2004-01,16.399,
2004-04,16.257,
2004-07,16.480,
2004-10,24.985,
2005-01,25.483,
2005-04,26.597,
2005-07,27.096,
2005-10,27.204,
2006-01,26.854,
2006-04,26.579,
2006-07,21.311,
2006-10,23.736,
2007-01,23.880,
2007-04,24.670,
2007-07,25.345,
2007-10,25.925,
2008-01,25.746,
2008-04,26.179,
2008-07,26.232,
2008-10,29.756,
2009-01,32.407,
2009-04,29.869,
2009-07,31.169,
2009-10,30.699,
2010-01,31.603,
2010-04,31.141,
2010-07,30.253,
2010-10,29.355,
2011-01,28.065,
2011-04,26.762,
2011-07,32.478,
2011-10,32.077,
2012-01,30.788,
2012-04,30.373,
2012-07,29.847,
2012-10,28.983,
2013-01,28.618,
2013-04,29.099,
2013-07,26.841,
2013-10,26.650,
2014-01,26.190,
2014-04,25.328,
2014-07,25.280,
