"",BBK01.OEAH69J,BBK01.OEAH69J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:18,
2002-01,0.913,
2002-04,0.883,
2002-07,0.879,
2002-10,0.865,
2003-01,0.795,
2003-04,0.743,
2003-07,0.679,
2003-10,0.627,
2004-01,0.575,
2004-04,0.540,
2004-07,0.575,
2004-10,0.508,
2005-01,0.488,
2005-04,0.476,
2005-07,0.464,
2005-10,0.489,
2006-01,0.486,
2006-04,0.531,
2006-07,0.586,
2006-10,0.689,
2007-01,0.836,
2007-04,0.988,
2007-07,1.086,
2007-10,1.175,
2008-01,1.190,
2008-04,1.166,
2008-07,1.165,
2008-10,1.294,
2009-01,1.214,
2009-04,1.170,
2009-07,1.150,
2009-10,0.953,
2010-01,0.829,
2010-04,0.803,
2010-07,0.735,
2010-10,0.721,
2011-01,0.744,
2011-04,0.749,
2011-07,0.737,
2011-10,0.712,
2012-01,0.675,
2012-04,0.639,
2012-07,0.572,
2012-10,0.471,
2013-01,0.374,
2013-04,0.327,
2013-07,0.315,
2013-10,0.311,
2014-01,0.321,
2014-04,0.352,
2014-07,0.386,
