"",BBFB1.Q.N.DE.CH.S1.S1.T.D.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.CH.S1.S1.T.D.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Expenditure / Switzerland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:31:44,
1991-01,1069.862,
1991-04,1374.127,
1991-07,1355.031,
1991-10,1194.341,
1992-01,1233.795,
1992-04,1283.531,
1992-07,1411.748,
1992-10,1364.855,
1993-01,1304.002,
1993-04,1459.494,
1993-07,1398.593,
1993-10,1303.694,
1994-01,1596.895,
1994-04,1653.643,
1994-07,1687.270,
1994-10,1750.454,
1995-01,1531.171,
1995-04,1545.707,
1995-07,1479.934,
1995-10,1442.967,
1996-01,1356.906,
1996-04,1604.206,
1996-07,1526.265,
1996-10,1455.537,
1997-01,1376.992,
1997-04,1659.754,
1997-07,1468.695,
1997-10,1304.309,
1998-01,1284.414,
1998-04,1800.196,
1998-07,1580.468,
1998-10,1612.251,
1999-01,1341.982,
1999-04,1733.266,
1999-07,1806.612,
1999-10,2064.476,
2000-01,1433.807,
2000-04,2071.965,
2000-07,1896.344,
2000-10,1493.363,
2001-01,1786.688,
2001-04,2244.096,
2001-07,1644.799,
2001-10,1601.749,
2002-01,1354.940,
2002-04,1622.466,
2002-07,1407.936,
2002-10,1403.083,
2003-01,1655.189,
2003-04,1991.836,
2003-07,1517.954,
2003-10,1529.346,
2004-01,1649.882,
2004-04,1852.169,
2004-07,1410.892,
2004-10,1479.445,
2005-01,1616.651,
2005-04,2088.723,
2005-07,1614.665,
2005-10,1762.039,
2006-01,1828.626,
2006-04,2552.000,
2006-07,1973.753,
2006-10,2179.059,
2007-01,2196.259,
2007-04,2864.738,
2007-07,2057.201,
2007-10,1672.337,
2008-01,1327.173,
2008-04,2364.393,
2008-07,1561.563,
2008-10,1253.426,
2009-01,1107.307,
2009-04,1861.533,
2009-07,1413.057,
2009-10,1952.505,
2010-01,1434.100,
2010-04,2367.027,
2010-07,1403.216,
2010-10,1452.177,
2011-01,2426.258,
2011-04,3593.541,
2011-07,2388.566,
2011-10,2513.280,
2012-01,2564.387,
2012-04,3792.446,
2012-07,2430.410,
2012-10,2296.670,
2013-01,1890.900,
2013-04,2971.852,
2013-07,1619.951,
2013-10,1636.090,
2014-01,1715.274,Provisional value
2014-04,2910.971,Provisional value
2014-07,1730.624,Provisional value
