"",BBK01.OELI02R,BBK01.OELI02R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:36,
2002-01,1.180,
2002-04,1.176,
2002-07,1.263,
2002-10,1.279,
2003-01,1.226,
2003-04,1.243,
2003-07,1.294,
2003-10,1.380,
2004-01,1.314,
2004-04,1.317,
2004-07,1.390,
2004-10,1.397,
2005-01,1.376,
2005-04,1.359,
2005-07,1.419,
2005-10,1.511,
2006-01,1.341,
2006-04,1.379,
2006-07,1.456,
2006-10,1.525,
2007-01,1.445,
2007-04,1.462,
2007-07,1.568,
2007-10,1.656,
2008-01,1.553,
2008-04,1.533,
2008-07,1.633,
2008-10,1.757,
2009-01,1.685,
2009-04,1.777,
2009-07,1.885,
2009-10,1.981,
2010-01,1.973,
2010-04,2.054,
2010-07,2.161,
2010-10,2.223,
2011-01,2.133,
2011-04,2.122,
2011-07,2.202,
2011-10,2.275,
2012-01,2.213,
2012-04,2.412,
2012-07,2.585,
2012-10,2.688,
2013-01,2.629,
2013-04,2.686,
2013-07,2.803,
2013-10,2.924,
2014-01,2.888,
2014-04,2.910,
2014-07,3.065,
