"",BBSF2.M.1.S.00000.GEM01.I.F.SVB.U201.00000.F33200.Z01.M1,BBSF2.M.1.S.00000.GEM01.I.F.SVB.U201.00000.F33200.Z01.M1_FLAGS
"","Special investors funds / Mixed securities funds / Long-term debt securities / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:03,
2009-09,68619,
2009-10,69022,
2009-11,69770,
2009-12,69607,
2010-01,74250,
2010-02,74532,
2010-03,74489,
2010-04,68329,
2010-05,67230,
2010-06,67851,
2010-07,68907,
2010-08,70387,
2010-09,69678,
2010-10,71588,
2010-11,68535,
2010-12,70327,
2011-01,70129,
2011-02,70404,
2011-03,70738,
2011-04,70793,
2011-05,71202,
2011-06,70586,
2011-07,70264,
2011-08,69759,
2011-09,68096,
2011-10,67351,
2011-11,63690,
2011-12,64744,
2012-01,63102,
2012-02,67571,
2012-03,68617,
2012-04,68494,
2012-05,68576,
2012-06,67438,
2012-07,69024,
2012-08,69830,
2012-09,70657,
2012-10,71383,
2012-11,74285,
2012-12,76462,
2013-01,78721,
2013-02,80079,
2013-03,81995,
2013-04,84320,
2013-05,84871,
2013-06,84128,
2013-07,85479,
2013-08,85461,
2013-09,86342,
2013-10,86073,
2013-11,85735,
2013-12,85669,
2014-01,87726,
2014-02,89104,
2014-03,89876,
2014-04,90383,
2014-05,91877,
2014-06,91331,
2014-07,92476,
2014-08,96995,
2014-09,96847,
2014-10,96133,
2014-11,96661,
