"",BBK01.OXA8M8,BBK01.OXA8M8_FLAGS
"","Consumer credit to domestic households and non-profit institutions serving households, traditionally securitised by servicing banks (MFIs) in Germany also being the originator with removal from the balance sheet - of which: domestic Financial Vehicle Corporations - All categories of banks",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:44,
2009-12,-,Nothing exists
2010-01,-,Nothing exists
2010-02,-,Nothing exists
2010-03,-,Nothing exists
2010-04,-,Nothing exists
2010-05,-,Nothing exists
2010-06,2.794,
2010-07,2.611,
2010-08,2.448,
2010-09,2.276,
2010-10,2.098,
2010-11,1.909,
2010-12,1.719,
2011-01,1.602,
2011-02,2.179,
2011-03,2.043,
2011-04,1.926,
2011-05,1.798,
2011-06,2.303,
2011-07,3.188,
2011-08,3.082,
2011-09,2.904,
2011-10,2.820,
2011-11,2.734,
2011-12,2.649,
2012-01,2.540,
2012-02,2.488,
2012-03,2.360,
2012-04,2.300,
2012-05,2.242,
2012-06,2.125,
2012-07,2.075,
2012-08,2.035,
2012-09,1.988,
2012-10,1.934,
2012-11,1.871,
2012-12,1.894,
2013-01,1.747,
2013-02,2.534,
2013-03,2.430,
2013-04,2.313,
2013-05,2.198,
2013-06,2.092,
2013-07,2.649,
2013-08,2.531,
2013-09,2.390,
2013-10,2.285,
2013-11,2.197,
2013-12,2.114,
2014-01,2.026,
2014-02,1.942,
2014-03,1.851,
2014-04,1.765,
2014-05,2.876,
2014-06,2.729,
2014-07,2.605,
2014-08,2.548,
2014-09,2.455,
2014-10,2.318,
2014-11,2.945,
2014-12,2.872,Provisional value
