"",BBK01.OECK02M,BBK01.OECK02M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:44,
2002-01,0.301,
2002-04,0.352,
2002-07,0.341,
2002-10,0.355,
2003-01,0.339,
2003-04,0.358,
2003-07,0.336,
2003-10,0.343,
2004-01,0.334,
2004-04,0.353,
2004-07,0.347,
2004-10,0.428,
2005-01,0.509,
2005-04,0.518,
2005-07,0.526,
2005-10,0.570,
2006-01,0.510,
2006-04,0.524,
2006-07,0.489,
2006-10,0.584,
2007-01,0.587,
2007-04,0.571,
2007-07,0.595,
2007-10,0.611,
2008-01,0.579,
2008-04,0.564,
2008-07,0.593,
2008-10,0.708,
2009-01,0.752,
2009-04,0.767,
2009-07,0.773,
2009-10,0.867,
2010-01,0.901,
2010-04,0.912,
2010-07,0.926,
2010-10,0.933,
2011-01,0.897,
2011-04,0.874,
2011-07,0.876,
2011-10,0.921,
2012-01,0.944,
2012-04,0.959,
2012-07,0.954,
2012-10,0.991,
2013-01,0.981,
2013-04,0.961,
2013-07,0.967,
2013-10,1.000,
2014-01,0.987,
2014-04,0.982,
2014-07,1.009,
