"",BBFB1.M.N.DE.W1.S13.S1.T.D.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S13.S1.T.D.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / General government / Expenditure / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:39:02,
1991-01,1964.255,
1991-02,3750.871,
1991-03,4979.377,
1991-04,1643.040,
1991-05,1535.830,
1991-06,1600.426,
1991-07,1788.269,
1991-08,1829.447,
1991-09,1555.401,
1991-10,1762.509,
1991-11,1578.121,
1991-12,2559.046,
1992-01,2064.734,
1992-02,2192.000,
1992-03,1858.324,
1992-04,1922.214,
1992-05,1520.393,
1992-06,1749.153,
1992-07,2230.880,
1992-08,1774.774,
1992-09,1662.840,
1992-10,1851.237,
1992-11,1353.157,
1992-12,2488.643,
1993-01,2188.193,
1993-02,1897.319,
1993-03,1749.565,
1993-04,2001.074,
1993-05,1772.090,
1993-06,1880.263,
1993-07,2041.842,
1993-08,2087.681,
1993-09,1800.949,
1993-10,2016.771,
1993-11,1839.681,
1993-12,3637.828,
1994-01,3108.479,
1994-02,2742.988,
1994-03,983.569,
1994-04,2037.353,
1994-05,1985.501,
1994-06,1973.358,
1994-07,2533.894,
1994-08,2041.507,
1994-09,2049.410,
1994-10,2110.831,
1994-11,2119.225,
1994-12,3242.618,
1995-01,2842.076,
1995-02,2513.355,
1995-03,1185.474,
1995-04,2171.313,
1995-05,2195.462,
1995-06,1342.820,
1995-07,2018.126,
1995-08,1949.858,
1995-09,1921.764,
1995-10,2255.734,
1995-11,1918.876,
1995-12,3153.427,
1996-01,3256.877,
1996-02,1851.656,
1996-03,1831.220,
1996-04,2190.835,
1996-05,2073.218,
1996-06,2195.312,
1996-07,2370.309,
1996-08,2406.030,
1996-09,94.514,
1996-10,1979.867,
1996-11,2044.922,
1996-12,2180.977,
1997-01,4380.377,
1997-02,2436.759,
1997-03,1530.235,
1997-04,1618.262,
1997-05,1745.259,
1997-06,1949.955,
1997-07,2224.930,
1997-08,2304.966,
1997-09,2131.488,
1997-10,2144.743,
1997-11,2201.419,
1997-12,611.322,
1998-01,5025.759,
1998-02,2652.141,
1998-03,1791.240,
1998-04,1629.604,
1998-05,1570.041,
1998-06,1372.086,
1998-07,1651.116,
1998-08,2286.494,
1998-09,2104.036,
1998-10,2131.085,
1998-11,2379.626,
1998-12,1240.952,
1999-01,3986.498,
1999-02,2159.253,
1999-03,1061.382,
1999-04,1845.492,
1999-05,1869.834,
1999-06,1487.911,
1999-07,2360.766,
1999-08,2166.266,
1999-09,2075.601,
1999-10,2064.635,
1999-11,2086.040,
1999-12,1927.043,
2000-01,4065.024,
2000-02,1675.839,
2000-03,1715.042,
2000-04,2438.357,
2000-05,2204.954,
2000-06,1881.690,
2000-07,2595.419,
2000-08,2157.627,
2000-09,1095.971,
2000-10,2082.148,
2000-11,2259.000,
2000-12,2405.014,
2001-01,3276.288,
2001-02,1619.994,
2001-03,2186.720,
2001-04,2143.736,
2001-05,2301.593,
2001-06,2340.049,
2001-07,2586.682,
2001-08,833.885,
2001-09,1995.930,
2001-10,2106.205,
2001-11,2004.220,
2001-12,1529.732,
2002-01,2637.143,
2002-02,2596.885,
2002-03,2159.996,
2002-04,2286.032,
2002-05,2203.071,
2002-06,2248.057,
2002-07,1575.397,
2002-08,1375.829,
2002-09,1918.746,
2002-10,2114.561,
2002-11,1986.849,
2002-12,1510.117,
2003-01,3388.294,
2003-02,2181.946,
2003-03,1584.825,
2003-04,2299.788,
2003-05,2210.782,
2003-06,2630.741,
2003-07,2322.174,
2003-08,2332.981,
2003-09,2200.906,
2003-10,1092.684,
2003-11,2253.655,
2003-12,2255.976,
2004-01,3573.866,
2004-02,2337.408,
2004-03,1903.263,
2004-04,1433.797,
2004-05,2149.553,
2004-06,2471.299,
2004-07,2429.234,
2004-08,2201.731,
2004-09,2132.133,
2004-10,1722.084,
2004-11,1677.791,
2004-12,1532.170,
2005-01,5625.528,
2005-02,1893.842,
2005-03,1914.983,
2005-04,1597.466,
2005-05,1982.913,
2005-06,2157.093,
2005-07,1969.728,
2005-08,2171.244,
2005-09,2281.934,
2005-10,1360.210,
2005-11,2171.233,
2005-12,1853.062,
2006-01,1988.758,
2006-02,4999.442,
2006-03,1842.997,
2006-04,1865.826,
2006-05,1847.854,
2006-06,1598.653,
2006-07,2330.953,
2006-08,2319.632,
2006-09,2348.613,
2006-10,2430.741,
2006-11,2153.779,
2006-12,2441.025,
2007-01,2700.443,
2007-02,5325.889,
2007-03,1543.626,
2007-04,1818.957,
2007-05,1504.027,
2007-06,1286.049,
2007-07,1930.539,
2007-08,2149.732,
2007-09,2059.206,
2007-10,2159.011,
2007-11,2201.444,
2007-12,3028.809,
2008-01,3027.144,
