"",BBK01.CEFZ0I,BBK01.CEFZ0I_FLAGS
"","Other accounts receivable, excluding trade credits and advances                                                 debtor: Total           creditor: Households (incl. NPISH)",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:31:54,
1999-01,38.7,
1999-04,39.3,
1999-07,39.9,
1999-10,44.1,
2000-01,45.5,
2000-04,46.0,
2000-07,46.5,
2000-10,45.6,
2001-01,47.0,
2001-04,47.5,
2001-07,48.8,
2001-10,47.4,
2002-01,60.8,
2002-04,59.5,
2002-07,59.8,
2002-10,58.1,
2003-01,58.6,
2003-04,59.2,
2003-07,59.6,
2003-10,56.3,
2004-01,57.1,
2004-04,57.1,
2004-07,57.5,
2004-10,57.9,
2005-01,57.7,
2005-04,57.9,
2005-07,58.8,
2005-10,51.6,
2006-01,50.4,
2006-04,49.2,
2006-07,47.9,
2006-10,46.7,
2007-01,45.7,
2007-04,44.7,
2007-07,43.7,
2007-10,42.6,
2008-01,41.9,
2008-04,41.2,
2008-07,40.5,
2008-10,39.8,
2009-01,39.5,
2009-04,39.2,
2009-07,38.9,
2009-10,38.7,
2010-01,38.6,
2010-04,38.4,
2010-07,38.1,
2010-10,39.0,
2011-01,39.0,
2011-04,38.9,
2011-07,38.6,
2011-10,38.4,
2012-01,38.3,
2012-04,38.2,
2012-07,37.9,
2012-10,37.1,
2013-01,37.1,
2013-04,37.0,
2013-07,36.8,
2013-10,36.7,
2014-01,36.7,
2014-04,36.7,
2014-07,36.5,
