"",BBK01.OEBB09P,BBK01.OEBB09P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:04,
2002-01,1.246,
2002-04,1.247,
2002-07,1.250,
2002-10,0.708,
2003-01,0.842,
2003-04,0.697,
2003-07,0.714,
2003-10,0.689,
2004-01,0.641,
2004-04,0.602,
2004-07,0.648,
2004-10,0.598,
2005-01,0.591,
2005-04,0.612,
2005-07,0.612,
2005-10,0.549,
2006-01,0.551,
2006-04,0.594,
2006-07,0.600,
2006-10,0.583,
2007-01,0.570,
2007-04,0.549,
2007-07,0.537,
2007-10,0.517,
2008-01,0.515,
2008-04,0.574,
2008-07,0.519,
2008-10,0.498,
2009-01,0.488,
2009-04,0.472,
2009-07,0.472,
2009-10,0.434,
2010-01,0.449,
2010-04,0.413,
2010-07,0.422,
2010-10,0.405,
2011-01,0.452,
2011-04,0.455,
2011-07,0.506,
2011-10,0.457,
2012-01,0.503,
2012-04,0.442,
2012-07,0.491,
2012-10,0.411,
2013-01,0.473,
2013-04,0.464,
2013-07,0.487,
2013-10,0.511,
2014-01,0.523,
2014-04,0.508,
2014-07,0.509,
