"",BBK01.TVE310,BBK01.TVE310_FLAGS
"",Lending to non-banks (non-MFIS) in the euro area / Total / Euro area,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-26 15:18:37,
1997-10,54427,
1997-11,59425,
1997-12,44373,
1998-01,42783,
1998-02,57278,
1998-03,57365,
1998-04,58768,
1998-05,27394,
1998-06,63586,
1998-07,16152,
1998-08,2832,
1998-09,43133,
1998-10,51315,
1998-11,64318,
1998-12,47270,
1999-01,85613,
1999-02,15000,
1999-03,89720,
1999-04,23239,
1999-05,70250,
1999-06,82008,
1999-07,6579,
1999-08,1434,
1999-09,53159,
1999-10,75613,
1999-11,91434,
1999-12,13901,
2000-01,50436,
2000-02,59982,
2000-03,90369,
2000-04,46774,
2000-05,37189,
2000-06,8623,
2000-07,4678,
2000-08,-308,
2000-09,68160,
2000-10,29240,
2000-11,45532,
2000-12,53092,
2001-01,36014,
2001-02,35178,
2001-03,88204,
2001-04,64477,
2001-05,29811,
2001-06,39369,
2001-07,14758,
2001-08,-19272,
2001-09,42723,
2001-10,23574,
2001-11,72126,
2001-12,39844,
2002-01,36155,
2002-02,28816,
2002-03,71218,
2002-04,26944,
2002-05,39914,
2002-06,33667,
2002-07,-18764,
2002-08,-7621,
2002-09,55521,
2002-10,28418,
2002-11,36836,
2002-12,51059,
2003-01,54465,
2003-02,50789,
2003-03,50491,
2003-04,85027,
2003-05,65341,
2003-06,11205,
2003-07,37450,
2003-08,-1854,
2003-09,57851,
2003-10,51169,
2003-11,90918,
2003-12,21948,
2004-01,41222,
2004-02,44969,
2004-03,78642,
2004-04,90085,
2004-05,72049,
2004-06,60317,
2004-07,26488,
2004-08,-18088,
2004-09,53744,
2004-10,56860,
2004-11,89817,
2004-12,27490,
2005-01,97313,
2005-02,59810,
2005-03,48707,
2005-04,136821,
2005-05,56111,
2005-06,84901,
2005-07,54347,
2005-08,-1412,
2005-09,98559,
2005-10,105640,
2005-11,142520,
2005-12,43945,
2006-01,127011,
2006-02,92218,
2006-03,142535,
2006-04,165679,
2006-05,45363,
2006-06,58272,
2006-07,68434,
2006-08,-14648,
2006-09,129045,
2006-10,82164,
2006-11,108986,
2006-12,-6772,
2007-01,116226,
2007-02,62491,
2007-03,149467,
2007-04,149610,
2007-05,127410,
2007-06,109396,
2007-07,94595,
2007-08,-2865,
2007-09,127596,
2007-10,174682,
2007-11,107610,
2007-12,136247,
2008-01,128737,
2008-02,62747,
2008-03,162973,
2008-04,194607,
2008-05,99282,
2008-06,65711,
2008-07,105384,
2008-08,23039,
2008-09,39915,
2008-10,16984,
2008-11,117132,
2008-12,12303,
2009-01,101337,
2009-02,23124,
2009-03,58613,
2009-04,78457,
2009-05,34231,
2009-06,107847,
2009-07,-32495,
2009-08,-53355,
2009-09,71590,
2009-10,-3577,
2009-11,41925,
2009-12,-39424,
2010-01,-7737,
2010-02,19440,
2010-03,60019,
2010-04,84709,
2010-05,19451,
2010-06,81841,
2010-07,35898,
2010-08,4339,
2010-09,60375,
2010-10,152951,
2010-11,160325,
2010-12,-116122,
2011-01,47014,
2011-02,23290,
2011-03,-35937,
2011-04,80633,
2011-05,5823,
2011-06,12608,
2011-07,-8614,
2011-08,8935,
2011-09,50258,
2011-10,36720,
2011-11,27735,
2011-12,-92907,
2012-01,125739,
2012-02,13252,
2012-03,36698,
2012-04,13046,
2012-05,21645,
2012-06,10833,
2012-07,-32855,
2012-08,-78222,
2012-09,70140,
2012-10,-4639,
2012-11,14436,
2012-12,-74659,
2013-01,55371,
2013-02,432,
2013-03,53386,
2013-04,14581,
2013-05,7173,
2013-06,-7251,
2013-07,-120746,
2013-08,-53650,
2013-09,3213,
2013-10,-43136,
2013-11,-18917,
2013-12,-182034,
2014-01,43507,
2014-02,-5139,
2014-03,7718,
2014-04,-6138,
2014-05,-25738,
2014-06,9298,
2014-07,-25915,
2014-08,-45660,
2014-09,34813,
2014-10,5000,
2014-11,33697,
2014-12,-33313,
2015-01,97072,
