"",BBFB1.Q.N.DE.CH.S1.S1.T.C.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.CH.S1.S1.T.C.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Exports (fob) / Switzerland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:31:39,
1991-01,4864.335,
1991-04,4610.817,
1991-07,4533.112,
1991-10,4527.306,
1992-01,4412.552,
1992-04,4343.922,
1992-07,4308.911,
1992-10,4318.060,
1993-01,4055.128,
1993-04,4002.493,
1993-07,3808.613,
1993-10,4542.068,
1994-01,4048.022,
1994-04,4565.456,
1994-07,4293.526,
1994-10,4547.617,
1995-01,4790.272,
1995-04,4746.428,
1995-07,4977.450,
1995-10,4922.219,
1996-01,4503.935,
1996-04,4700.738,
1996-07,4402.712,
1996-10,4416.201,
1997-01,4374.808,
1997-04,4961.688,
1997-07,4546.889,
1997-10,4902.630,
1998-01,4807.613,
1998-04,4850.968,
1998-07,4802.985,
1998-10,5402.957,
1999-01,5161.203,
1999-04,5224.924,
1999-07,4924.753,
1999-10,5226.728,
2000-01,5531.831,
2000-04,5548.111,
2000-07,5866.843,
2000-10,6106.791,
2001-01,6732.616,
2001-04,6643.144,
2001-07,6114.355,
2001-10,6025.942,
2002-01,5974.868,
2002-04,6064.779,
2002-07,5872.595,
2002-10,6000.460,
2003-01,5788.181,
2003-04,5834.748,
2003-07,5486.421,
2003-10,5637.413,
2004-01,5785.678,
2004-04,6002.671,
2004-07,5980.191,
2004-10,6622.689,
2005-01,6573.943,
2005-04,6190.638,
2005-07,6630.213,
2005-10,6481.873,
2006-01,6705.564,
2006-04,6680.798,
2006-07,7466.586,
2006-10,8851.655,
2007-01,7992.049,
2007-04,7772.711,
2007-07,7857.243,
2007-10,8109.950,
2008-01,7768.017,
2008-04,7972.928,
2008-07,8296.440,
2008-10,8816.457,
2009-01,7951.748,
2009-04,7148.427,
2009-07,7497.997,
2009-10,8359.749,
2010-01,8830.018,
2010-04,9382.252,
2010-07,9560.979,
2010-10,10114.520,
2011-01,10543.700,
2011-04,11063.585,
2011-07,13008.587,
2011-10,11910.739,
2012-01,13148.300,
2012-04,11870.767,
2012-07,11448.002,
2012-10,11619.250,
2013-01,11973.523,
2013-04,11928.363,
2013-07,11651.321,
2013-10,11631.726,
2014-01,11873.199,Provisional value
2014-04,11777.838,Provisional value
2014-07,11812.814,Provisional value
