"",BBFB1.M.N.DE.W1.S1.S1.T.LD.FA.P.F3.L._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.LD.FA.P.F3.L._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Long-term debt-securities / Sales / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:51:08,
1991-01,15748.043,
1991-02,18975.806,
1991-03,19685.686,
1991-04,15010.508,
1991-05,11752.547,
1991-06,12363.824,
1991-07,13853.044,
1991-08,15876.900,
1991-09,10902.199,
1991-10,14964.673,
1991-11,12357.984,
1991-12,14556.298,
1992-01,25431.374,
1992-02,18246.593,
1992-03,18518.747,
1992-04,15685.675,
1992-05,11814.205,
1992-06,15581.258,
1992-07,19071.277,
1992-08,19560.937,
1992-09,34693.245,
1992-10,46227.595,
1992-11,44872.562,
1992-12,43814.913,
1993-01,44944.699,
1993-02,55134.983,
1993-03,60594.841,
1993-04,47255.351,
1993-05,51394.669,
1993-06,61642.265,
1993-07,78615.970,
1993-08,77537.284,
1993-09,86574.828,
1993-10,88578.889,
1993-11,93684.959,
1993-12,89602.471,
1994-01,75439.060,
1994-02,78890.148,
1994-03,110795.686,
1994-04,70627.300,
1994-05,77011.791,
1994-06,91741.387,
1994-07,73673.387,
1994-08,68422.262,
1994-09,87343.137,
1994-10,61753.446,
1994-11,56311.452,
1994-12,57459.203,
1995-01,69198.533,
1995-02,78625.887,
1995-03,98994.896,
1995-04,65826.517,
1995-05,90169.807,
1995-06,93003.865,
1995-07,71510.134,
1995-08,73343.184,
1995-09,91424.065,
1995-10,85179.842,
1995-11,88230.003,
1995-12,86047.456,
1996-01,107539.440,
1996-02,99451.337,
1996-03,93199.128,
1996-04,76035.141,
1996-05,75145.285,
1996-06,82672.553,
1996-07,88164.957,
1996-08,89772.462,
1996-09,101751.239,
1996-10,98016.607,
1996-11,83367.023,
1996-12,84651.341,
1997-01,109033.731,
1997-02,101742.468,
1997-03,101445.120,
1997-04,102158.853,
1997-05,84074.945,
1997-06,109082.098,
1997-07,118194.688,
1997-08,116124.137,
1997-09,120893.773,
1997-10,135406.612,
1997-11,99252.282,
1997-12,107477.324,
1998-01,139952.810,
1998-02,108107.748,
1998-03,131623.337,
1998-04,119379.221,
1998-05,92287.886,
1998-06,121107.153,
1998-07,114666.551,
1998-08,133904.540,
1998-09,166318.452,
1998-10,142856.128,
1998-11,105572.227,
1998-12,92547.704,
1999-01,97449.461,
1999-02,99697.307,
1999-03,123239.434,
1999-04,92117.098,
1999-05,94384.046,
1999-06,111829.628,
1999-07,96400.665,
1999-08,83908.766,
1999-09,113806.997,
1999-10,112317.154,
1999-11,98871.552,
1999-12,74616.559,
2000-01,93383.621,
2000-02,91562.370,
2000-03,108820.441,
2000-04,65604.328,
2000-05,102374.880,
2000-06,111761.759,
2000-07,78533.663,
2000-08,86268.856,
2000-09,118544.168,
2000-10,110743.697,
2000-11,102176.129,
2000-12,114157.590,
2001-01,152326.297,
2001-02,128328.300,
2001-03,189187.074,
2001-04,122182.808,
2001-05,120900.129,
2001-06,155384.814,
2001-07,132783.520,
2001-08,125242.759,
2001-09,143269.936,
2001-10,126728.548,
2001-11,147928.763,
2001-12,115526.721,
2002-01,135322.004,
2002-02,114346.496,
2002-03,120826.770,
2002-04,102800.369,
2002-05,102408.161,
2002-06,96224.888,
2002-07,119955.939,
2002-08,123402.977,
2002-09,124434.698,
2002-10,143113.091,
2002-11,113611.369,
2002-12,130544.123,
2003-01,146899.230,
2003-02,121979.702,
2003-03,163267.636,
2003-04,114275.593,
2003-05,123665.128,
2003-06,141849.122,
2003-07,150707.836,
2003-08,137160.994,
2003-09,153766.045,
2003-10,146160.849,
2003-11,139996.533,
2003-12,112779.453,
2004-01,129205.943,
2004-02,143869.946,
2004-03,173457.669,
2004-04,103728.473,
2004-05,107227.809,
2004-06,141642.772,
2004-07,119891.706,
2004-08,89535.007,
2004-09,145262.389,
2004-10,93850.551,
2004-11,127611.662,
2004-12,132929.844,
