"",BBK01.OEHL06G,BBK01.OEHL06G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:00,
2002-01,5.552,
2002-04,5.622,
2002-07,5.791,
2002-10,6.053,
2003-01,6.144,
2003-04,6.154,
2003-07,6.106,
2003-10,6.201,
2004-01,6.022,
2004-04,5.916,
2004-07,5.803,
2004-10,5.835,
2005-01,5.595,
2005-04,5.493,
2005-07,5.353,
2005-10,5.526,
2006-01,5.589,
2006-04,5.589,
2006-07,5.714,
2006-10,5.935,
2007-01,6.091,
2007-04,6.412,
2007-07,6.936,
2007-10,7.552,
2008-01,7.971,
2008-04,8.434,
2008-07,8.881,
2008-10,9.683,
2009-01,9.279,
2009-04,8.449,
2009-07,7.507,
2009-10,7.318,
2010-01,6.730,
2010-04,6.367,
2010-07,6.166,
2010-10,6.319,
2011-01,6.476,
2011-04,6.627,
2011-07,6.775,
2011-10,7.235,
2012-01,7.199,
2012-04,6.843,
2012-07,6.409,
2012-10,6.182,
2013-01,5.927,
2013-04,5.519,
2013-07,5.164,
2013-10,5.096,
2014-01,4.702,
2014-04,4.404,
2014-07,4.060,
