"",BBK01.OEHB14U,BBK01.OEHB14U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:36,
2002-01,0.251,
2002-04,0.246,
2002-07,0.240,
2002-10,0.229,
2003-01,0.231,
2003-04,0.231,
2003-07,0.225,
2003-10,0.210,
2004-01,0.211,
2004-04,0.208,
2004-07,0.205,
2004-10,0.200,
2005-01,0.209,
2005-04,0.206,
2005-07,0.201,
2005-10,0.188,
2006-01,0.193,
2006-04,0.189,
2006-07,0.186,
2006-10,0.178,
2007-01,0.179,
2007-04,0.174,
2007-07,0.176,
2007-10,0.175,
2008-01,0.187,
2008-04,0.184,
2008-07,0.180,
2008-10,0.176,
2009-01,0.187,
2009-04,0.179,
2009-07,0.158,
2009-10,0.147,
2010-01,0.151,
2010-04,0.155,
2010-07,0.146,
2010-10,0.138,
2011-01,0.140,
2011-04,0.142,
2011-07,0.130,
2011-10,0.127,
2012-01,0.131,
2012-04,0.128,
2012-07,0.124,
2012-10,0.120,
2013-01,0.126,
2013-04,0.122,
2013-07,0.118,
2013-10,0.114,
2014-01,0.117,
2014-04,0.115,
2014-07,0.107,
