"",BBK01.OECB17O,BBK01.OECB17O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:04,
2002-01,1.847,
2002-04,1.840,
2002-07,1.843,
2002-10,1.816,
2003-01,1.766,
2003-04,1.765,
2003-07,1.766,
2003-10,1.758,
2004-01,1.728,
2004-04,1.725,
2004-07,1.727,
2004-10,1.724,
2005-01,2.347,
2005-04,2.383,
2005-07,2.434,
2005-10,2.509,
2006-01,2.557,
2006-04,2.578,
2006-07,2.626,
2006-10,2.641,
2007-01,2.659,
2007-04,2.818,
2007-07,2.804,
2007-10,2.797,
2008-01,2.799,
2008-04,2.813,
2008-07,2.844,
2008-10,2.847,
2009-01,2.843,
2009-04,3.615,
2009-07,3.603,
2009-10,3.591,
2010-01,3.590,
2010-04,3.595,
2010-07,3.740,
2010-10,3.612,
2011-01,3.549,
2011-04,3.518,
2011-07,3.500,
2011-10,3.474,
2012-01,3.472,
2012-04,3.461,
2012-07,3.461,
2012-10,3.455,
2013-01,3.470,
2013-04,3.478,
2013-07,3.496,
2013-10,3.488,
2014-01,3.474,
2014-04,3.479,
2014-07,3.519,
