"",BBK01.OEHL01M,BBK01.OEHL01M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:29,
2002-01,41.046,
2002-04,40.852,
2002-07,40.673,
2002-10,41.690,
2003-01,41.922,
2003-04,41.679,
2003-07,41.302,
2003-10,42.000,
2004-01,42.078,
2004-04,41.857,
2004-07,41.061,
2004-10,42.163,
2005-01,42.185,
2005-04,41.928,
2005-07,41.572,
2005-10,41.992,
2006-01,42.158,
2006-04,41.935,
2006-07,41.704,
2006-10,42.295,
2007-01,42.220,
2007-04,42.179,
2007-07,42.117,
2007-10,42.930,
2008-01,42.798,
2008-04,42.814,
2008-07,42.491,
2008-10,44.084,
2009-01,44.512,
2009-04,44.396,
2009-07,43.956,
2009-10,44.506,
2010-01,45.065,
2010-04,45.382,
2010-07,45.233,
2010-10,45.829,
2011-01,45.915,
2011-04,46.065,
2011-07,45.957,
2011-10,46.605,
2012-01,46.711,
2012-04,47.060,
2012-07,47.062,
2012-10,47.534,
2013-01,47.907,
2013-04,48.327,
2013-07,48.220,
2013-10,48.673,
2014-01,48.990,
2014-04,49.241,
2014-07,49.140,
