"",BBDR1.Q.DE.N.DES.DHPIN.H.I10.A,BBDR1.Q.DE.N.DES.DHPIN.H.I10.A_FLAGS
"",Statistisches Bundesamt (Destatis) / Price index for purchases of new dwellings / Germany / Unadjusted figure,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-16 14:35:36,
2000-01,91.9,
2000-04,91.4,
2000-07,91.3,
2000-10,90.7,
2001-01,90.3,
2001-04,88.4,
2001-07,89.9,
2001-10,89.5,
2002-01,89.1,
2002-04,88.6,
2002-07,90.1,
2002-10,88.3,
2003-01,89.1,
2003-04,90.7,
2003-07,87.4,
2003-10,88.3,
2004-01,89.7,
2004-04,89.1,
2004-07,89.0,
2004-10,89.8,
2005-01,90.5,
2005-04,88.1,
2005-07,89.9,
2005-10,88.8,
2006-01,88.9,
2006-04,87.0,
2006-07,88.3,
2006-10,89.3,
2007-01,86.0,
2007-04,91.3,
2007-07,91.9,
2007-10,91.5,
2008-01,91.8,
2008-04,92.9,
2008-07,93.3,
2008-10,92.6,
2009-01,95.8,
2009-04,95.6,
2009-07,99.2,
2009-10,100.1,
2010-01,98.8,
2010-04,98.8,
2010-07,101.5,
2010-10,101.0,
2011-01,102.2,
2011-04,105.4,
2011-07,107.1,
2011-10,105.7,
2012-01,106.6,
2012-04,107.3,
2012-07,108.4,
2012-10,109.9,
2013-01,108.8,
2013-04,110.1,
2013-07,109.5,
2013-10,109.2,
2014-01,110.7,
