"",BBK01.OELB04J,BBK01.OELB04J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:38,
2002-01,1.112,
2002-04,1.131,
2002-07,1.145,
2002-10,1.157,
2003-01,1.158,
2003-04,1.167,
2003-07,1.181,
2003-10,1.198,
2004-01,1.209,
2004-04,1.220,
2004-07,1.242,
2004-10,1.315,
2005-01,1.315,
2005-04,1.328,
2005-07,1.345,
2005-10,1.352,
2006-01,1.380,
2006-04,1.388,
2006-07,1.394,
2006-10,1.345,
2007-01,1.342,
2007-04,1.340,
2007-07,1.341,
2007-10,1.344,
2008-01,1.343,
2008-04,1.342,
2008-07,1.353,
2008-10,1.358,
2009-01,1.352,
2009-04,1.370,
2009-07,1.384,
2009-10,1.392,
2010-01,1.384,
2010-04,1.392,
2010-07,1.402,
2010-10,1.431,
2011-01,1.420,
2011-04,1.435,
2011-07,1.451,
2011-10,1.473,
2012-01,1.473,
2012-04,2.024,
2012-07,2.042,
2012-10,2.072,
2013-01,2.084,
2013-04,2.094,
2013-07,2.102,
2013-10,2.118,
2014-01,1.883,
2014-04,1.905,
2014-07,1.919,
