"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.GB.00013.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.GB.00013.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / United Kingdom / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:26,
2009-09,425,
2009-10,459,
2009-11,451,
2009-12,406,
2010-01,379,
2010-02,373,
2010-03,369,
2010-04,375,
2010-05,341,
2010-06,399,
2010-07,402,
2010-08,461,
2010-09,531,
2010-10,420,
2010-11,440,
2010-12,446,
2011-01,359,
2011-02,364,
2011-03,359,
2011-04,370,
2011-05,383,
2011-06,397,
2011-07,406,
2011-08,419,
2011-09,540,
2011-10,581,
2011-11,619,
2011-12,662,
2012-01,595,
2012-02,593,
2012-03,542,
2012-04,552,
2012-05,585,
2012-06,628,
2012-07,652,
2012-08,652,
2012-09,664,
2012-10,643,
2012-11,559,
2012-12,557,
2013-01,541,
2013-02,544,
2013-03,634,
2013-04,638,
2013-05,583,
2013-06,529,
2013-07,589,
2013-08,583,
2013-09,563,
2013-10,475,
2013-11,459,
2013-12,464,
2014-01,460,
2014-02,462,
2014-03,441,
2014-04,446,
2014-05,445,
2014-06,421,
2014-07,430,
2014-08,461,
2014-09,460,
2014-10,462,
2014-11,625,
