"",BBK01.OEAF07V,BBK01.OEAF07V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:10:32,
2002-01,0.592,
2002-04,0.616,
2002-07,0.647,
2002-10,0.616,
2003-01,0.609,
2003-04,0.629,
2003-07,0.653,
2003-10,0.630,
2004-01,0.609,
2004-04,0.609,
2004-07,0.597,
2004-10,0.552,
2005-01,0.584,
2005-04,0.591,
2005-07,0.599,
2005-10,0.570,
2006-01,0.514,
2006-04,0.517,
2006-07,0.497,
2006-10,0.492,
2007-01,0.468,
2007-04,0.458,
2007-07,0.454,
2007-10,0.468,
2008-01,0.459,
2008-04,0.445,
2008-07,0.450,
2008-10,0.433,
2009-01,0.449,
2009-04,0.443,
2009-07,0.450,
2009-10,0.427,
2010-01,0.419,
2010-04,0.412,
2010-07,0.419,
2010-10,0.397,
2011-01,0.404,
2011-04,0.431,
2011-07,0.415,
2011-10,0.416,
2012-01,0.412,
2012-04,0.417,
2012-07,0.282,
2012-10,0.292,
2013-01,0.280,
2013-04,0.274,
2013-07,0.282,
2013-10,0.267,
2014-01,0.258,
2014-04,0.251,
2014-07,0.254,
