"",BBK01.OELL03G,BBK01.OELL03G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:51,
2002-01,9.268,
2002-04,9.221,
2002-07,9.339,
2002-10,9.581,
2003-01,9.396,
2003-04,8.976,
2003-07,8.670,
2003-10,8.784,
2004-01,8.594,
2004-04,8.192,
2004-07,8.007,
2004-10,8.059,
2005-01,7.756,
2005-04,7.513,
2005-07,7.246,
2005-10,7.614,
2006-01,7.746,
2006-04,7.696,
2006-07,7.903,
2006-10,8.482,
2007-01,8.861,
2007-04,9.384,
2007-07,10.176,
2007-10,11.534,
2008-01,12.102,
2008-04,13.114,
2008-07,13.951,
2008-10,16.453,
2009-01,14.031,
2009-04,11.915,
2009-07,9.602,
2009-10,8.274,
2010-01,7.600,
2010-04,7.108,
2010-07,6.801,
2010-10,6.960,
2011-01,6.785,
2011-04,6.979,
2011-07,7.196,
2011-10,7.719,
2012-01,7.353,
2012-04,6.981,
2012-07,6.444,
2012-10,6.072,
2013-01,5.485,
2013-04,4.893,
2013-07,4.568,
2013-10,4.460,
2014-01,4.078,
2014-04,3.992,
2014-07,3.834,
