"",BBK01.OELI03R,BBK01.OELI03R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:41,
2002-01,0.378,
2002-04,0.350,
2002-07,0.330,
2002-10,0.339,
2003-01,0.326,
2003-04,0.296,
2003-07,0.297,
2003-10,0.319,
2004-01,0.308,
2004-04,0.301,
2004-07,0.312,
2004-10,0.318,
2005-01,0.315,
2005-04,0.307,
2005-07,0.321,
2005-10,0.331,
2006-01,0.307,
2006-04,0.360,
2006-07,0.367,
2006-10,0.381,
2007-01,0.419,
2007-04,0.430,
2007-07,0.443,
2007-10,0.445,
2008-01,0.460,
2008-04,0.461,
2008-07,0.480,
2008-10,0.520,
2009-01,0.530,
2009-04,0.470,
2009-07,0.426,
2009-10,0.418,
2010-01,0.410,
2010-04,0.389,
2010-07,0.387,
2010-10,0.411,
2011-01,0.410,
2011-04,0.393,
2011-07,0.393,
2011-10,0.406,
2012-01,0.389,
2012-04,0.404,
2012-07,0.394,
2012-10,0.372,
2013-01,0.351,
2013-04,0.339,
2013-07,0.323,
2013-10,0.314,
2014-01,0.329,
2014-04,0.313,
2014-07,0.318,
