"",BBQFS.M.U2.CORP.PX_BOOK_ES50._X.0000,BBQFS.M.U2.CORP.PX_BOOK_ES50._X.0000_FLAGS
"",Price-to-book value ratio Euro Stoxx 50 (FSR 2014),
unit,,
unit multiplier,one,
last update,2015-01-07 17:09:24,
2005-01,2.08,
2005-02,2.13,
2005-03,2.12,
2005-04,2.03,
2005-05,2.13,
2005-06,2.06,
2005-07,2.11,
2005-08,2.07,
2005-09,2.09,
2005-10,2.02,
2005-11,2.10,
2005-12,2.17,
2006-01,2.07,
2006-02,2.12,
2006-03,2.07,
2006-04,2.06,
2006-05,1.95,
2006-06,1.98,
2006-07,2.00,
2006-08,2.06,
2006-09,2.10,
2006-10,2.09,
2006-11,2.08,
2006-12,2.15,
2007-01,2.08,
2007-02,2.03,
2007-03,2.07,
2007-04,2.12,
2007-05,2.18,
2007-06,2.17,
2007-07,2.08,
2007-08,2.07,
2007-09,2.15,
2007-10,2.18,
2007-11,2.14,
2007-12,2.07,
2008-01,1.79,
2008-02,1.75,
2008-03,1.74,
2008-04,1.83,
2008-05,1.81,
2008-06,1.66,
2008-07,1.68,
2008-08,1.68,
2008-09,1.54,
2008-10,1.31,
2008-11,1.22,
2008-12,1.27,
2009-01,1.16,
2009-02,1.03,
2009-03,1.06,
2009-04,1.21,
2009-05,1.25,
2009-06,1.22,
2009-07,1.34,
2009-08,1.41,
2009-09,1.45,
2009-10,1.38,
2009-11,1.39,
2009-12,1.45,
2010-01,1.35,
2010-02,1.33,
2010-03,1.37,
2010-04,1.32,
2010-05,1.22,
2010-06,1.16,
2010-07,1.24,
2010-08,1.18,
2010-09,1.25,
2010-10,1.29,
2010-11,1.20,
2010-12,1.25,
2011-01,1.32,
2011-02,1.35,
2011-03,1.31,
2011-04,1.36,
2011-05,1.29,
2011-06,1.32,
2011-07,1.23,
2011-08,1.06,
2011-09,1.02,
2011-10,1.11,
2011-11,1.09,
2011-12,1.08,
2012-01,1.08,
2012-02,1.12,
2012-03,1.10,
2012-04,1.04,
2012-05,0.96,
2012-06,1.04,
2012-07,1.08,
2012-08,1.13,
2012-09,1.13,
2012-10,1.14,
2012-11,1.17,
2012-12,1.21,
2013-01,1.25,
2013-02,1.21,
2013-03,1.22,
2013-04,1.23,
2013-05,1.26,
2013-06,1.18,
2013-07,1.29,
2013-08,1.27,
2013-09,1.44,
2013-10,1.45,
2013-11,1.45,
2013-12,1.50,
2014-01,1.45,
2014-02,1.52,
2014-03,1.51,
2014-04,1.52,
2014-05,1.54,
2014-06,1.53,
2014-07,1.48,
2014-08,1.50,
2014-09,1.50,
2014-10,1.44,
"",Source: Bloomberg,
