"",BBSF2.M.1.T.00000.DAC01.I.F.ATU.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.DAC01.I.F.ATU.Z5.00000.000000.Z01.00_FLAGS
"",Public and Special Investors Funds / Funds-of-funds / Number outstanding,
unit,Stück (hypothetically euro-based),
unit multiplier,thousand,
last update,2014-12-29 10:36:25,
2009-09,516938,
2009-10,525589,
2009-11,537104,
2009-12,544318,
2010-01,539817,
2010-02,541587,
2010-03,543994,
2010-04,549451,
2010-05,550543,
2010-06,535672,
2010-07,544008,
2010-08,594937,
2010-09,606365,
2010-10,614343,
2010-11,618324,
2010-12,629673,
2011-01,632807,
2011-02,634525,
2011-03,636750,
2011-04,639352,
2011-05,638449,
2011-06,640629,
2011-07,655495,
2011-08,653951,
2011-09,659842,
2011-10,663478,
2011-11,663871,
2011-12,671647,
2012-01,671875,
2012-02,670331,
2012-03,672716,
2012-04,672976,
2012-05,672047,
2012-06,652127,
2012-07,739156,
2012-08,734444,
2012-09,733605,
2012-10,738497,
2012-11,739523,
2012-12,748420,
2013-01,756006,
2013-02,752238,
2013-03,753140,
2013-04,757796,
2013-05,758428,
2013-06,752992,
2013-07,755957,
2013-08,755403,
2013-09,754311,
2013-10,764815,
2013-11,768095,
2013-12,785156,
2014-01,788388,
2014-02,778773,
2014-03,790245,
2014-04,794896,
2014-05,797567,
2014-06,804428,
2014-07,810432,
2014-08,806865,
2014-09,810705,
2014-10,812147,
2014-11,840102,
