"",BBK01.OEHM04G,BBK01.OEHM04G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:41:43,
2002-01,1.544,
2002-04,1.491,
2002-07,1.441,
2002-10,1.819,
2003-01,1.558,
2003-04,1.390,
2003-07,1.357,
2003-10,1.408,
2004-01,1.211,
2004-04,1.294,
2004-07,1.336,
2004-10,1.335,
2005-01,1.180,
2005-04,1.129,
2005-07,1.201,
2005-10,1.387,
2006-01,1.322,
2006-04,1.381,
2006-07,1.544,
2006-10,1.756,
2007-01,1.734,
2007-04,2.008,
2007-07,2.319,
2007-10,2.777,
2008-01,2.757,
2008-04,2.907,
2008-07,3.179,
2008-10,3.398,
2009-01,2.369,
2009-04,2.152,
2009-07,1.637,
2009-10,1.525,
2010-01,0.955,
2010-04,1.047,
2010-07,1.004,
2010-10,1.194,
2011-01,0.991,
2011-04,1.350,
2011-07,1.821,
2011-10,1.977,
2012-01,1.798,
2012-04,1.701,
2012-07,2.032,
2012-10,1.694,
2013-01,1.571,
2013-04,1.328,
2013-07,1.305,
2013-10,1.500,
2014-01,1.737,
2014-04,1.605,
2014-07,1.549,
