"",BBK01.OEYI08V,BBK01.OEYI08V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:58:26,
2002-01,-,Nothing exists
2002-04,-,Nothing exists
2002-07,-,Nothing exists
2002-10,-,Nothing exists
2003-01,-,Nothing exists
2003-04,-,Nothing exists
2003-07,-,Nothing exists
2003-10,-,Nothing exists
2004-01,-,Nothing exists
2004-04,-,Nothing exists
2004-07,-,Nothing exists
2004-10,-,Nothing exists
2005-01,-,Nothing exists
2005-04,-,Nothing exists
2005-07,0.082,
2005-10,0.083,
2006-01,0.085,
2006-04,0.092,
2006-07,0.091,
2006-10,0.099,
2007-01,0.095,
2007-04,0.092,
2007-07,0.089,
2007-10,0.087,
2008-01,0.095,
2008-04,0.086,
2008-07,0.085,
2008-10,0.086,
2009-01,0.086,
2009-04,0.084,
2009-07,0.083,
2009-10,0.081,
2010-01,0.135,
2010-04,0.162,
2010-07,0.210,
2010-10,0.197,
2011-01,0.153,
2011-04,0.150,
2011-07,0.148,
2011-10,0.141,
2012-01,0.138,
2012-04,0.135,
2012-07,0.132,
2012-10,0.125,
2013-01,0.124,
2013-04,0.124,
2013-07,0.144,
2013-10,0.153,
2014-01,0.145,
2014-04,0.144,
2014-07,0.117,
