"",BBK01.OEBB17J,BBK01.OEBB17J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:04,
2002-01,1.839,
2002-04,1.834,
2002-07,1.845,
2002-10,1.836,
2003-01,1.840,
2003-04,1.859,
2003-07,1.880,
2003-10,1.878,
2004-01,1.887,
2004-04,1.898,
2004-07,1.913,
2004-10,1.844,
2005-01,1.982,
2005-04,2.019,
2005-07,2.104,
2005-10,2.108,
2006-01,2.106,
2006-04,2.103,
2006-07,2.193,
2006-10,2.219,
2007-01,2.199,
2007-04,2.212,
2007-07,2.205,
2007-10,2.197,
2008-01,2.173,
2008-04,2.197,
2008-07,2.199,
2008-10,2.201,
2009-01,2.214,
2009-04,2.232,
2009-07,2.206,
2009-10,2.186,
2010-01,2.182,
2010-04,2.179,
2010-07,2.196,
2010-10,2.204,
2011-01,2.207,
2011-04,2.195,
2011-07,2.207,
2011-10,2.212,
2012-01,2.205,
2012-04,2.212,
2012-07,2.159,
2012-10,2.159,
2013-01,2.162,
2013-04,2.169,
2013-07,2.188,
2013-10,2.197,
2014-01,2.206,
2014-04,2.218,
2014-07,2.254,
