"",BBFB1.Q.N.DE.A1.S1.S1.T.A.FA.F.F7.T._T.T.N,BBFB1.Q.N.DE.A1.S1.S1.T.A.FA.F.F7.T._T.T.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Financial derivates and employee stock options / America,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:45:09,
1991-01,-0.542,
1991-04,-28.821,
1991-07,81.951,
1991-10,1.662,
1992-01,-54.624,
1992-04,2.362,
1992-07,109.356,
1992-10,36.681,
1993-01,68.204,
1993-04,-35.803,
1993-07,-9.368,
1993-10,-17.928,
1994-01,102.229,
1994-04,126.951,
1994-07,60.969,
1994-10,273.938,
1995-01,181.215,
1995-04,197.824,
1995-07,7.072,
1995-10,-297.482,
1996-01,556.213,
1996-04,-22.326,
1996-07,122.044,
1996-10,564.921,
1997-01,677.633,
1997-04,391.129,
1997-07,1053.224,
1997-10,-558.288,
1998-01,1522.002,
1998-04,2164.412,
1998-07,-2325.849,
1998-10,873.455,
1999-01,-169.387,
1999-04,-133.934,
1999-07,-1425.282,
1999-10,2209.273,
2000-01,233.808,
2000-04,-70.350,
2000-07,96.047,
2000-10,1020.188,
2001-01,-1388.767,
2001-04,-1480.281,
2001-07,-3356.207,
2001-10,550.526,
2002-01,-1221.305,
2002-04,-339.396,
2002-07,-813.788,
2002-10,117.136,
2003-01,-617.494,
2003-04,62.779,
2003-07,-81.820,
2003-10,-1038.669,
2004-01,1049.971,
2004-04,464.475,
2004-07,686.386,
2004-10,647.098,
2005-01,1446.649,
2005-04,49.194,
2005-07,-996.431,
2005-10,405.580,
2006-01,-35.994,
2006-04,-495.688,
2006-07,-557.095,
2006-10,811.206,
2007-01,-1105.855,
2007-04,1112.715,
2007-07,-501.341,
2007-10,1509.683,
2008-01,27.391,
2008-04,-464.363,
2008-07,-1403.834,
2008-10,-2736.723,
2009-01,55.311,
2009-04,1392.678,
2009-07,1946.331,
2009-10,20.087,
2010-01,1343.129,
2010-04,-301.401,
2010-07,1503.241,
2010-10,-456.178,
2011-01,-913.150,
2011-04,-567.389,
2011-07,917.036,
2011-10,378.357,
2012-01,-1333.204,
2012-04,728.225,
2012-07,87.659,
2012-10,-235.387,
2013-01,-579.786,
2013-04,1242.213,
2013-07,611.207,
2013-10,652.901,
2014-01,-806.873,Provisional value
2014-04,-274.400,Provisional value
2014-07,540.863,Provisional value
2014-10,-415.100,Provisional value
