"",BBK01.OEAG05M,BBK01.OEAG05M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:24,
2002-01,0.118,
2002-04,0.329,
2002-07,0.356,
2002-10,0.104,
2003-01,0.271,
2003-04,0.389,
2003-07,0.416,
2003-10,0.499,
2004-01,0.394,
2004-04,0.380,
2004-07,0.181,
2004-10,0.598,
2005-01,0.378,
2005-04,0.192,
2005-07,0.247,
2005-10,0.313,
2006-01,0.327,
2006-04,0.163,
2006-07,0.159,
2006-10,0.189,
2007-01,0.147,
2007-04,0.152,
2007-07,0.146,
2007-10,0.138,
2008-01,0.140,
2008-04,0.122,
2008-07,0.103,
2008-10,0.108,
2009-01,0.155,
2009-04,0.089,
2009-07,0.089,
2009-10,0.087,
2010-01,0.099,
2010-04,0.085,
2010-07,0.112,
2010-10,0.111,
2011-01,0.107,
2011-04,0.104,
2011-07,0.107,
2011-10,0.105,
2012-01,0.089,
2012-04,0.105,
2012-07,0.071,
2012-10,0.048,
2013-01,0.048,
2013-04,0.045,
2013-07,0.044,
2013-10,0.043,
2014-01,0.048,
2014-04,0.030,
2014-07,0.026,
