"",BBK01.OELM01S,BBK01.OELM01S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:42:30,
2002-01,0.027,
2002-04,0.025,
2002-07,0.018,
2002-10,0.026,
2003-01,0.020,
2003-04,0.035,
2003-07,0.064,
2003-10,0.068,
2004-01,0.068,
2004-04,0.076,
2004-07,0.075,
2004-10,0.109,
2005-01,0.045,
2005-04,0.043,
2005-07,0.046,
2005-10,0.044,
2006-01,0.036,
2006-04,0.038,
2006-07,0.037,
2006-10,0.041,
2007-01,0.030,
2007-04,0.032,
2007-07,0.028,
2007-10,0.028,
2008-01,0.026,
2008-04,0.028,
2008-07,0.030,
2008-10,0.037,
2009-01,0.044,
2009-04,0.052,
2009-07,0.056,
2009-10,0.052,
2010-01,0.063,
2010-04,0.056,
2010-07,0.050,
2010-10,0.044,
2011-01,0.038,
2011-04,0.036,
2011-07,0.032,
2011-10,0.162,
2012-01,0.135,
2012-04,0.135,
2012-07,0.153,
2012-10,0.148,
2013-01,0.162,
2013-04,0.167,
2013-07,0.179,
2013-10,0.117,
2014-01,0.147,
2014-04,0.124,
2014-07,0.131,
