"",BBFN1.M.DE.N.1.L.W1.S1P.H1.T.NV00.EUR.BGA.X001.D,BBFN1.M.DE.N.1.L.W1.S1P.H1.T.NV00.EUR.BGA.X001.D_FLAGS
1998-06,17.504,
1998-07,16.644,
1998-08,15.528,
1998-09,16.939,
1998-10,17.094,
1998-11,17.066,
1998-12,16.180,
1999-01,16.710,
1999-02,17.826,
1999-03,19.937,
1999-04,19.727,
1999-05,19.049,
1999-06,19.852,
1999-07,19.488,
1999-08,18.366,
1999-09,20.061,
1999-10,20.390,
1999-11,21.120,
1999-12,21.780,
2000-01,21.034,
2000-02,21.704,
2000-03,22.963,
2000-04,22.123,
2000-05,22.272,
2000-06,23.035,
2000-07,22.194,
2000-08,21.468,
2000-09,23.558,
2000-10,23.798,
2000-11,24.570,
2000-12,25.324,
2001-01,24.863,
2001-02,24.096,
2001-03,25.811,
2001-04,24.140,
2001-05,24.508,
2001-06,25.653,
2001-07,24.328,
2001-08,23.068,
2001-09,24.159,
2001-10,25.167,
2001-11,25.113,
2001-12,25.457,
2002-01,23.975,
2002-02,24.326,
2002-03,24.244,
2002-04,23.738,
2002-05,23.755,
2002-06,24.524,
2002-07,24.070,
2002-08,22.833,
2002-09,24.315,
2002-10,24.811,
2002-11,25.263,
2002-12,24.693,
2003-01,23.688,
2003-02,23.614,
2003-03,25.211,
2003-04,24.219,
2003-05,24.296,
2003-06,26.071,
2003-07,24.447,
2003-08,22.944,
2003-09,25.236,
2003-10,26.082,
2003-11,25.865,
2003-12,25.317,
2004-01,24.089,
2004-02,24.008,
2004-03,26.007,
2004-04,24.280,
2004-05,24.637,
2004-06,26.264,
2004-07,25.513,
2004-08,23.931,
2004-09,26.968,
2004-10,27.217,
2004-11,28.219,
2004-12,27.961,
2005-01,25.705,
2005-02,26.027,
2005-03,28.127,
2005-04,27.727,
2005-05,26.608,
2005-06,28.837,
2005-07,27.609,
2005-08,25.837,
2005-09,28.990,
2005-10,28.793,
2005-11,30.674,
2005-12,30.841,
2006-01,28.382,
2006-02,28.904,
2006-03,31.773,
2006-04,30.281,
2006-05,30.681,
2006-06,31.541,
2006-07,29.179,
2006-08,28.538,
2006-09,31.503,
2006-10,32.066,
2006-11,33.142,
2006-12,33.988,
2007-01,33.532,
2007-02,32.720,
2007-03,35.921,
2007-04,33.356,
2007-05,33.627,
2007-06,35.580,
2007-07,34.063,
2007-08,32.740,
2007-09,34.949,
2007-10,36.000,
2007-11,36.594,
2007-12,35.965,
2008-01,34.903,
2008-02,36.520,
2008-03,36.879,
2008-04,37.116,
2008-05,36.199,
2008-06,36.325,
2008-07,36.501,
2008-08,33.982,
2008-09,37.132,
2008-10,36.186,
2008-11,35.881,
2008-12,32.664,
2009-01,29.784,
2009-02,28.945,
2009-03,30.663,
2009-04,28.515,
2009-05,28.183,
2009-06,29.969,
2009-07,29.347,
2009-08,27.395,
2009-09,30.043,
2009-10,31.041,
2009-11,31.242,
2009-12,31.327,
2010-01,28.990,
2010-02,30.564,
2010-03,32.429,
2010-04,31.000,
2010-05,32.693,
2010-06,34.401,
2010-07,32.610,
2010-08,30.826,
2010-09,35.363,
2010-10,35.631,
2010-11,35.467,
2010-12,36.004,
2011-01,33.416,
2011-02,35.037,
2011-03,36.494,
2011-04,35.704,
2011-05,35.432,
2011-06,37.145,
2011-07,35.396,
2011-08,32.779,
2011-09,37.427,
2011-10,36.436,
2011-11,37.293,
2011-12,37.373,
2012-01,33.866,
2012-02,35.687,
2012-03,37.299,
2012-04,35.435,
2012-05,34.979,
2012-06,36.531,
2012-07,35.114,
2012-08,33.338,
2012-09,37.693,
2012-10,38.426,
2012-11,38.973,
2012-12,42.636,
2013-01,39.659,
2013-02,39.642,
2013-03,40.213,
2013-04,38.397,
2013-05,38.375,
2013-06,38.729,
2013-07,38.713,
2013-08,37.986,
2013-09,41.001,
2013-10,41.230,
2013-11,41.484,
2013-12,40.105,
2014-01,36.519,
2014-02,38.327,
2014-03,40.204,
2014-04,38.916,
2014-05,38.642,
2014-06,39.877,
2014-07,40.001,
2014-08,36.912,
2014-09,41.535,
2014-10,40.670,
2014-11,42.041,
2014-12,38.733,
"","General: From January 1999, including national currencies of the euro-area member states.",
