"",BBK01.OEAH65T,BBK01.OEAH65T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:31:00,
2002-01,0.228,
2002-04,0.206,
2002-07,0.206,
2002-10,0.214,
2003-01,0.218,
2003-04,0.193,
2003-07,0.191,
2003-10,0.194,
2004-01,0.199,
2004-04,0.180,
2004-07,0.168,
2004-10,0.161,
2005-01,0.162,
2005-04,0.160,
2005-07,0.152,
2005-10,0.166,
2006-01,0.185,
2006-04,0.208,
2006-07,0.246,
2006-10,0.301,
2007-01,0.339,
2007-04,0.385,
2007-07,0.436,
2007-10,0.568,
2008-01,0.654,
2008-04,0.702,
2008-07,0.783,
2008-10,0.798,
2009-01,0.743,
2009-04,0.655,
2009-07,0.526,
2009-10,0.374,
2010-01,0.339,
2010-04,0.321,
2010-07,0.309,
2010-10,0.313,
2011-01,0.332,
2011-04,0.343,
2011-07,0.345,
2011-10,0.375,
2012-01,0.339,
2012-04,0.320,
2012-07,0.275,
2012-10,0.212,
2013-01,0.175,
2013-04,0.158,
2013-07,0.143,
2013-10,0.127,
2014-01,0.112,
2014-04,0.116,
2014-07,0.112,
