"",BBK01.OEYM02H,BBK01.OEYM02H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:44:37,
2002-01,0.304,
2002-04,0.204,
2002-07,0.288,
2002-10,0.311,
2003-01,0.237,
2003-04,0.196,
2003-07,0.146,
2003-10,0.280,
2004-01,0.389,
2004-04,0.233,
2004-07,0.187,
2004-10,0.213,
2005-01,0.276,
2005-04,0.269,
2005-07,0.305,
2005-10,0.237,
2006-01,0.173,
2006-04,0.535,
2006-07,0.905,
2006-10,0.347,
2007-01,0.324,
2007-04,0.236,
2007-07,0.294,
2007-10,0.432,
2008-01,0.466,
2008-04,0.489,
2008-07,0.445,
2008-10,0.404,
2009-01,0.330,
2009-04,1.268,
2009-07,0.292,
2009-10,0.338,
2010-01,0.227,
2010-04,0.297,
2010-07,0.471,
2010-10,3.533,
2011-01,6.819,
2011-04,3.032,
2011-07,7.662,
2011-10,1.707,
2012-01,2.800,
2012-04,4.402,
2012-07,2.516,
2012-10,1.306,
2013-01,2.607,
2013-04,1.809,
2013-07,1.022,
2013-10,0.733,
2014-01,0.755,
2014-04,0.915,
2014-07,0.773,
