"",BBK01.OEXL08H,BBK01.OEXL08H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:33,
2002-01,3.489,
2002-04,3.441,
2002-07,3.375,
2002-10,3.445,
2003-01,3.399,
2003-04,3.483,
2003-07,3.627,
2003-10,3.789,
2004-01,3.798,
2004-04,3.415,
2004-07,3.672,
2004-10,3.971,
2005-01,4.309,
2005-04,4.563,
2005-07,4.846,
2005-10,4.998,
2006-01,4.937,
2006-04,4.773,
2006-07,4.551,
2006-10,4.407,
2007-01,4.142,
2007-04,3.985,
2007-07,3.742,
2007-10,3.755,
2008-01,3.634,
2008-04,3.480,
2008-07,3.320,
2008-10,3.318,
2009-01,3.569,
2009-04,3.752,
2009-07,4.229,
2009-10,4.630,
2010-01,4.848,
2010-04,4.790,
2010-07,4.938,
2010-10,5.445,
2011-01,5.767,
2011-04,5.557,
2011-07,5.643,
2011-10,6.847,
2012-01,7.733,
2012-04,7.683,
2012-07,7.672,
2012-10,7.723,
2013-01,7.665,
2013-04,7.296,
2013-07,7.051,
2013-10,6.755,
2014-01,6.361,
2014-04,6.181,
2014-07,6.113,
