"",BBK01.OEAH09Q,BBK01.OEAH09Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:01,
2002-01,0.307,
2002-04,0.306,
2002-07,0.303,
2002-10,0.302,
2003-01,0.292,
2003-04,0.274,
2003-07,0.271,
2003-10,0.275,
2004-01,0.264,
2004-04,0.252,
2004-07,0.241,
2004-10,0.198,
2005-01,0.186,
2005-04,0.185,
2005-07,0.174,
2005-10,0.171,
2006-01,0.205,
2006-04,0.220,
2006-07,0.243,
2006-10,0.276,
2007-01,0.333,
2007-04,0.371,
2007-07,0.427,
2007-10,0.505,
2008-01,0.532,
2008-04,0.566,
2008-07,0.606,
2008-10,0.671,
2009-01,0.652,
2009-04,0.577,
2009-07,0.470,
2009-10,0.333,
2010-01,0.266,
2010-04,0.255,
2010-07,0.257,
2010-10,0.269,
2011-01,0.289,
2011-04,0.309,
2011-07,0.308,
2011-10,0.304,
2012-01,0.272,
2012-04,0.260,
2012-07,0.244,
2012-10,0.221,
2013-01,0.200,
2013-04,0.177,
2013-07,0.163,
2013-10,0.143,
2014-01,0.128,
2014-04,0.122,
2014-07,0.118,
